,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9127388946280992,0.9664029247786039,0.8205075294824977,0.9714436604560786,0.9865220249835635,0.7308167273698061,0.4952947925834037,0.5358774522977694,0.8037339184357846
1,2,0.9204868285123966,0.9715300806106592,0.8246810912533388,0.9770509276708426,0.9835634451019066,0.7214042447703133,0.4927507066071144,0.5501209352324644,0.8069550941649257
2,3,0.9162254648760331,0.9739211750521255,0.8239016738506035,0.971952262585162,0.9784681130834977,0.7303300852386492,0.49299700536751073,0.5485084654662725,0.8023762006465693
3,4,0.918904958677686,0.976102583700988,0.8226394315081209,0.9704155664555301,0.9787968441814596,0.7223348143628077,0.4930390563753833,0.5520021499596882,0.8035744157728681
4,5,0.9158057851239669,0.9771239564327036,0.8230044241709062,0.9735769171373191,0.9816321499013807,0.7251219465685247,0.4931802276160983,0.5571083042192959,0.8019365957463362
5,6,0.9191632231404959,0.9771087373025952,0.8234504624485777,0.9724555294713337,0.9821252465483234,0.7275315116035164,0.49272667745975873,0.5630206933619994,0.8014503071398839
6,7,0.9219072830578513,0.9779813007621402,0.8264796141538981,0.9724023232132546,0.9833168967784351,0.7238031311378502,0.4905730651280003,0.5614082235958076,0.8020299631587751
7,8,0.9263623450413223,0.9778882949670338,0.8243632315013383,0.9736368838059372,0.982741617357002,0.7261776091226331,0.4917805297826263,0.5589895189465197,0.802135001497769
8,9,0.9250064566115702,0.9777597778683409,0.8254771776123272,0.9736194529095747,0.9879602235371466,0.7261684559791004,0.49190968644966343,0.5630206933619994,0.8028196958556539
9,10,0.9263623450413223,0.9781571662656144,0.8253616445017448,0.9749066716189415,0.9883711374095989,0.7222684540721953,0.49286184141363476,0.5638269282450954,0.8035549642286102
10,11,0.9251355888429752,0.978481841041259,0.8250003879843266,0.9733834963103873,0.9891518737672583,0.7235453175950115,0.4930961256003532,0.5643644181671593,0.8037066862738231
11,12,0.9248127582644627,0.9782214248149607,0.8263405145879233,0.9735307636318562,0.9894806048652203,0.7236368490303388,0.4933364170739106,0.5649019080892232,0.8040412528350624
12,13,0.9250710227272727,0.9788978305975539,0.8254082026209346,0.9728361588560537,0.9894806048652203,0.723224957571366,0.4928678487004737,0.5681268476216071,0.8040568140704691
13,14,0.9248127582644627,0.9785545546628878,0.8258479181910618,0.9722044807124025,0.9900147928994083,0.722112850632139,0.4904258866004463,0.568126847621607,0.8047648502814638
14,15,0.924296229338843,0.9787219650940796,0.8264623704060501,0.9727033624674138,0.9900147928994083,0.7208436147289335,0.4910896917961487,0.5675893576995431,0.8038078343039654
15,16,0.9236182851239669,0.9787963697301648,0.8271526951115699,0.972958723271986,0.9900969756738988,0.7208657348258042,0.4913269796262867,0.5692018274657351,0.8030725659310094
16,17,0.924845041322314,0.9783854532172395,0.8279252150151659,0.973309168337219,0.989439513477975,0.7216811273621784,0.491432107145968,0.568126847621607,0.8030959077841191
17,18,0.9254584194214877,0.9781284190198541,0.8261088735751635,0.9731241888877706,0.9893162393162392,0.7214530615358212,0.49216199249689874,0.5673206127385112,0.8032787523001451
18,19,0.9263300619834711,0.9781385651065931,0.8270187686699496,0.9729897115321862,0.9898915187376727,0.721074731603135,0.4919997957522475,0.5708142972319268,0.8030492240778996
19,20,0.9287835743801653,0.9781487111933319,0.8266422801752655,0.9728314082972966,0.9890285996055226,0.7203707023130757,0.492414298544134,0.5710830421929589,0.8031153593283772
20,21,0.9290418388429753,0.9778223454032309,0.8271912061484307,0.9725985578326811,0.9891518737672583,0.720649873190824,0.49275371025053394,0.5718892770760549,0.8033896261024163
21,22,0.9289449896694215,0.9776701541021474,0.8275044675676717,0.9727442538154843,0.9892340565417488,0.7215964607845006,0.4928498268399569,0.570008062348831,0.8038934210987011
22,23,0.9285575929752066,0.9777090474346466,0.8289776584254964,0.9724903912640587,0.9892340565417488,0.7201952670620316,0.4919907848219891,0.5708142972319269,0.8048893401647157
23,24,0.9276859504132231,0.9777327216370373,0.828577028683825,0.97345179472821,0.9894806048652203,0.7198787208481914,0.4919217010233413,0.570008062348831,0.8052394679613615
24,25,0.9280410640495869,0.9777310306225807,0.8289713357179521,0.9735743226013825,0.9894806048652202,0.7187494517648405,0.4917625079221095,0.5697393173877989,0.8056596213173364
25,26,0.9284284607438018,0.9777547048249714,0.8308325109023595,0.9733271473749763,0.9896860618014464,0.7190968898381037,0.49232418924155,0.569739317387799,0.8063520962929247
26,27,0.9290418388429753,0.9778967500393161,0.8308279125696001,0.9727052261481569,0.9897271531886916,0.7189962052592438,0.4919907848219891,0.5678581026605751,0.8069589844737775
27,28,0.9290418388429753,0.9776836822177992,0.8304209601203844,0.9727469214369401,0.9898093359631821,0.7201289067714194,0.4921079269153483,0.5678581026605751,0.8073402347412362
28,29,0.9293323863636364,0.9774080468613928,0.8303083009677766,0.9730071789713082,0.9899326101249177,0.7203569725977766,0.4921950325745129,0.568933082504703,0.8071496096075068
29,30,0.9294292355371901,0.977458777295087,0.8299364108058521,0.973530252033221,0.9901380670611439,0.72052478022921,0.49242030583097296,0.568395592582639,0.8070290100331066
30,31,0.9296552169421488,0.9773319512108508,0.829927788931928,0.9734894703134296,0.989973701512163,0.7201029728647433,0.4924984005598792,0.5689330825047031,0.8070367906508097
31,32,0.9292032541322315,0.9770850631002045,0.829707643751067,0.9734374334236596,0.9900147928994083,0.7215712896397857,0.4926575936611109,0.5673206127385112,0.8070834743570292
32,33,0.9291064049586777,0.977024186579771,0.8293012660934462,0.973092396686858,0.9898915187376726,0.7209969298831067,0.4928167867623427,0.5667831228164472,0.8071924030048745
33,34,0.9300748966942148,0.9769447089003163,0.8294702548223578,0.9732464609616256,0.9896860618014464,0.7221220037756716,0.4930450636622223,0.5673206127385112,0.8071885126960229
34,35,0.9298489152892562,0.9768905964377088,0.8298059331138012,0.9729000355999565,0.9901791584483892,0.7213737342918709,0.49273869203343656,0.5662456328943832,0.8072235254756874
35,36,0.9299457644628099,0.9770563158544443,0.8299312376814977,0.9733479767479882,0.9900558842866535,0.7221448866345035,0.4929038924215073,0.5670518677774792,0.8070523518862163
36,37,0.9298811983471074,0.9768263378883626,0.8298973249773962,0.9734576781125167,0.9900558842866535,0.7231685131862474,0.4930600818793196,0.5675893576995431,0.8074763955510427
37,38,0.9303977272727272,0.9766453993415188,0.8297542018702568,0.9735659177666586,0.989973701512163,0.7229488377414619,0.49312165656941875,0.5670518677774792,0.8076748013024755
38,39,0.9303331611570247,0.9766589274571709,0.8297593749946114,0.9735590477278406,0.9901791584483892,0.7229328197402796,0.49312616203454795,0.5673206127385112,0.8075697629634817
39,40,0.9300103305785123,0.9764289494910892,0.8298231768616493,0.9740227753480497,0.9902202498356344,0.7222913369310273,0.4932913624226186,0.5681268476216071,0.8074258215359718
40,41,0.9303008780991735,0.9764052752886985,0.8299252023697508,0.974164488170049,0.9903024326101248,0.7215606109723308,0.4931261620345479,0.5678581026605751,0.8073013316527199
