,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9245867768595041,0.9782095877137653,0.8236384193001223,0.930102836441697,0.9857001972386588,0.6924970919700235,0.4883894163620472,0.5517334049986563,0.8027224381343636
1,2,0.9312370867768595,0.9776870642467123,0.8354452134517327,0.9697469801246122,0.9949457593688362,0.7009530710703457,0.4929324270339922,0.5616769685568396,0.8039206532606624
2,3,0.9325606921487603,0.9767130399197783,0.8334190730795782,0.9732468994747416,0.9928911900065746,0.7152441791727846,0.4900534348164324,0.5538833646869121,0.8025240323829308
3,4,0.931818181818182,0.9759334822553398,0.8303479615878272,0.9732181768656413,0.9936719263642341,0.7184531187429684,0.4898491870639085,0.5541521096479441,0.8078848779804629
4,5,0.9327221074380164,0.9764526236934798,0.8369569153464183,0.977948929446967,0.9912475345167653,0.7214278903911062,0.4902787080728925,0.5501209352324643,0.8088185521048517
5,6,0.9333032024793388,0.9763156515225049,0.8333420510058566,0.9739089081089187,0.9924802761341223,0.729990656165977,0.4915312273788105,0.5503896801934963,0.8080638321876374
6,7,0.9331740702479339,0.975818493272299,0.8319016232689433,0.9750043504155387,0.9934253780407627,0.7269991037546958,0.49210191962850947,0.5509271701155604,0.807628117596256
7,8,0.9317213326446281,0.9756882851591498,0.8307945746570937,0.9761326081203421,0.9941239316239316,0.728627600541561,0.49222807265212704,0.5517334049986563,0.8083672762780637
8,9,0.9325606921487604,0.9758996619662101,0.8304393534514223,0.9755755868346961,0.9948224852071006,0.7280456131652714,0.493216271337132,0.554152109647944,0.8092075829900136
9,10,0.9324315599173553,0.9753196440076366,0.8299019233101559,0.9754399035680422,0.9942882971729126,0.7279876432562308,0.49350462110540083,0.5568395592582639,0.8087446362366708
10,11,0.9326575413223142,0.974994969231992,0.829413925246054,0.9760730434220803,0.9933431952662722,0.726490341526668,0.49255246614142956,0.555227089492072,0.8098455936416792
11,12,0.9325929752066116,0.9754583071930683,0.8282143351874194,0.9767218235772569,0.9927268244575937,0.7264575427623425,0.4924263131178119,0.5538833646869121,0.809643297581395
12,13,0.9325606921487604,0.9760687634118584,0.8297501783290924,0.9763216803588732,0.9931788297172913,0.7251410156175512,0.4925344442809127,0.554152109647944,0.8100050963045956
13,14,0.9327866735537189,0.9759368642842526,0.8301835711916752,0.9754726824234661,0.9925213675213675,0.7252310215289564,0.49227312730341904,0.555227089492072,0.808764087780929
14,15,0.9322055785123967,0.9762226457273984,0.8292144725626106,0.976526539069582,0.9930144641683104,0.7248687095974523,0.4915672710998441,0.553883364686912,0.8089449871425292
15,16,0.9307528409090908,0.9764424776067411,0.8287684342849392,0.976294054032563,0.9933021038790271,0.7257443603287504,0.4913179686960283,0.5530771298038162,0.8077292656263981
16,17,0.9314630681818181,0.97639005615859,0.8276470158832161,0.9762794003859353,0.9928911900065746,0.7250334661810416,0.49164836947216983,0.5533458747648481,0.8078304136565402
17,18,0.9317858987603305,0.9765676126765208,0.827731510247672,0.9768344483625591,0.992973372781065,0.7243363017486317,0.49182258079049884,0.55361461972588,0.8080093678637146
18,19,0.9322378615702478,0.9765101181850003,0.8275274592314692,0.9773120622314427,0.9931377383300459,0.7252241566713069,0.4916003111774583,0.556033324375168,0.8088302230314064
19,20,0.9317858987603305,0.9767536242667338,0.8297817918668139,0.9778816907691746,0.993671926364234,0.7252981445815297,0.4916994314103007,0.5557645794141359,0.8087407459278193
20,21,0.9317536157024793,0.9769176526690126,0.8314469631173478,0.9777651193658282,0.9934253780407626,0.7254461204019755,0.4917925443563042,0.556033324375168,0.8088807970464775
21,22,0.9322378615702479,0.9768466300618406,0.8317935624490951,0.9778762093552242,0.9937541091387245,0.7259373391048989,0.49214397063638193,0.555764579414136,0.8091064349598713
22,23,0.9322055785123967,0.9769463999147727,0.831674005797348,0.97755689872123,0.993671926364234,0.7259602219637308,0.4922641163731607,0.5552270894920721,0.8091764605192007
23,24,0.9319473140495869,0.9772169622278101,0.8314210974955755,0.9774860057674706,0.993836291913215,0.7253370454415438,0.4920148139693448,0.5565708142972319,0.8091959120634588
24,25,0.9320441632231404,0.9772406364302009,0.8312819979296007,0.9775715158250977,0.9939184746877054,0.7243553707976583,0.4917264642010759,0.5563020693361999,0.8090986543421681
25,26,0.9315276342975207,0.9770005123773803,0.831619400595829,0.9777942804880446,0.9934253780407626,0.7245452985259626,0.49194873381411647,0.555764579414136,0.8088341133402581
26,27,0.9310111053719009,0.9771527036784637,0.8318717341060065,0.9771224053087567,0.9932199211045365,0.7250014301786771,0.49113474644744076,0.554152109647944,0.8080638321876372
27,28,0.9300426136363636,0.9771138103459647,0.8314946708197275,0.9771659642782831,0.993671926364234,0.7258343662401556,0.491438114432807,0.5536146197258801,0.8081961026885925
28,29,0.929816632231405,0.9770985912158563,0.8318395457766898,0.9768905049558927,0.9939184746877054,0.7262104078869587,0.49125489218421947,0.5557645794141359,0.8081182965115601
29,30,0.9301394628099173,0.9771273384616166,0.8323913457078299,0.9769594976861489,0.993302103879027,0.7270616502355028,0.491245881253961,0.555227089492072,0.8081416383646699
30,31,0.9301394628099173,0.9773370242542203,0.8323137488425134,0.9770280519032893,0.9937541091387245,0.727064701283347,0.4914771617972601,0.5563020693362,0.8078809876716111
31,32,0.929816632231405,0.9771662317941157,0.8319659999275762,0.9773656339171186,0.9930966469428008,0.7268267195514959,0.49161532939455566,0.556033324375168,0.8077214850086948
32,33,0.9301717458677685,0.9771966700543323,0.831757925370209,0.9775009152134159,0.9927679158448389,0.7263538071356382,0.4913900561380955,0.5546895995700081,0.8075308598749653
33,34,0.9302685950413223,0.977167922808572,0.8320085345056016,0.9772801969450107,0.9927679158448389,0.7268412120287561,0.49153723466564947,0.5541521096479441,0.807495847095301
34,35,0.9302040289256198,0.9771729958519415,0.8323516850877793,0.9773583984507039,0.9922337278106509,0.726464407619992,0.4910085934238231,0.55495834453104,0.8075464211103718
35,36,0.9304945764462809,0.9772744567193304,0.832309150509754,0.9772251635489481,0.9921515450361604,0.7263286359909231,0.4912939395486725,0.553883364686912,0.8075814338900366
36,37,0.9305268595041323,0.9772389454157443,0.8319062216017027,0.9768747184837151,0.9919871794871795,0.7259182700558724,0.49124287761054164,0.5538833646869121,0.8075619823457783
37,38,0.9305914256198347,0.977164540779659,0.8315107649843858,0.9769212008740152,0.9919460880999343,0.7278251749585247,0.49091548047781963,0.554420854608976,0.807258538255352
38,39,0.9310756714876033,0.9771527036784637,0.8310446090008915,0.9770534856640196,0.9919049967126891,0.728076123643714,0.49086742218310814,0.5546895995700081,0.8074919567864492
39,40,0.9310756714876034,0.9771797599097675,0.8305732798930427,0.9769893896635589,0.9918228139381986,0.7277996224328293,0.49109569908298767,0.5536146197258801,0.8074180409182685
40,41,0.9307205578512396,0.9771679228085721,0.8312302666860564,0.9769587668309555,0.9919049967126891,0.7272317461528193,0.4908764331133665,0.555227089492072,0.8075308598749655
41,42,0.9309465392561983,0.9771188833893342,0.8310492073336511,0.976766405744054,0.9917817225509533,0.726690185160466,0.4909725497027895,0.5557645794141359,0.807472505242191
42,43,0.930785123966942,0.9771729958519416,0.8311434731552207,0.9768027292471658,0.9917406311637081,0.7267687496424553,0.4908719276482373,0.5554958344531039,0.8076008854342946
43,44,0.9309142561983471,0.9771408665772684,0.8318291995279812,0.9767617282708163,0.9917817225509534,0.7260830266394614,0.49070222179503736,0.556033324375168,0.8079004392158693
44,45,0.9308819731404958,0.977122265418247,0.8314521362417022,0.9770083188130677,0.9918228139381986,0.7260288705402261,0.4908704258265276,0.5557645794141359,0.8078576458185015
45,46,0.9308174070247934,0.9770884451291174,0.8312647541817526,0.9770995295412035,0.9918228139381986,0.7263660113270152,0.49119782295924963,0.5549583445310401,0.8081338577469666
46,47,0.9307205578512396,0.9771882149820499,0.8314601833240313,0.9773418811233332,0.9918639053254439,0.7257542762342442,0.4912218521066053,0.555227089492072,0.808281689483328
47,48,0.9306559917355371,0.9771442486061813,0.8309595398448407,0.9772375150017164,0.991699539776463,0.7257054594687363,0.4913720342775787,0.555227089492072,0.8083089216452893
48,49,0.9317536157024793,0.9771628497652026,0.830792275490714,0.9768970095671137,0.991699539776463,0.725965561297458,0.4914050743551928,0.5549583445310401,0.8083517150426571
49,50,0.9319795971074379,0.9771510126640073,0.8304600459488402,0.9770474926514338,0.991699539776463,0.7254629011651188,0.4916273439682335,0.5549583445310401,0.8085423401763866
50,51,0.9320118801652892,0.9770901361435739,0.8306416800928403,0.9771545629372662,0.9915762656147272,0.7259083541503786,0.49169943141030065,0.5557645794141359,0.8093398534909686
51,52,0.9318181818181819,0.9770782990423785,0.8303261195072197,0.9770770192012468,0.991699539776463,0.7253217902023226,0.49159730753403874,0.5560333243751678,0.8092814988581944
52,53,0.9320764462809916,0.977129029476073,0.830057117040789,0.9769793769474093,0.9915762656147272,0.7253942525886233,0.49153723466564947,0.556033324375168,0.8091453380483876
53,54,0.9317213326446281,0.9770512428110748,0.8298668610228647,0.9771046455275573,0.991699539776463,0.7252584809595546,0.49180155528656255,0.555495834453104,0.8091608992837942
54,55,0.9313985020661157,0.9770461697677054,0.8299645755940039,0.9772118619844283,0.9919460880999343,0.7254331534486375,0.4916844131932034,0.555227089492072,0.8096199557282853
55,56,0.9313662190082644,0.9771087373025953,0.8296449914672187,0.9773670225419859,0.9921104536489153,0.7253278922980111,0.4917595042786901,0.5554958344531039,0.8096005041840272
56,57,0.9313662190082646,0.9771036642592257,0.8298294995691937,0.9771262057557623,0.9920282708744248,0.7250441448484963,0.49181056621682107,0.554420854608976,0.8099117288921567
57,58,0.9308174070247934,0.9771239564327034,0.8301214936994219,0.9768910165545278,0.9918639053254439,0.724915238077077,0.4919907848219891,0.554152109647944,0.8097930744721823
58,59,0.9311725206611571,0.9771324115049861,0.8309193044331952,0.9768272128961444,0.9920282708744248,0.7252714479128926,0.4919667556746333,0.5536146197258801,0.8095966138751756
59,60,0.9311402376033059,0.9771357935338989,0.8311302529485373,0.9765679785590474,0.9921104536489153,0.724977021795923,0.49219803621793234,0.5538833646869121,0.8094643433742205
