,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9127388946280992,0.9664029247786039,0.8205075294824977,0.9714436604560786,0.9865220249835635,0.7308167273698061,0.4952947925834037,0.5358774522977694,0.8037339184357846
1,2,0.9204868285123966,0.9715300806106592,0.8246810912533388,0.9770509276708426,0.9835634451019066,0.7214042447703133,0.4927507066071144,0.5501209352324644,0.8069550941649257
2,3,0.9255552685950412,0.972948841739648,0.8226971980634121,0.9783172804644381,0.9898504273504274,0.7163982380198699,0.49234521474548626,0.5511959150765924,0.8065582826620605
3,4,0.925393853305785,0.973824787228106,0.8216519395480184,0.9790854823582154,0.9861111111111112,0.7105676855895197,0.4925855062190436,0.5571083042192959,0.8048465467673479
4,5,0.9211324896694215,0.9749645309717753,0.8247811049908579,0.980004021165274,0.9872616699539776,0.7122053355199176,0.49227312730341904,0.5697393173877989,0.8043563678520437
5,6,0.9259749483471075,0.9750220254632957,0.8255579358314159,0.9798288351754172,0.9872616699539776,0.7160252474209112,0.49258850986246316,0.5670518677774792,0.8048582176939028
6,7,0.9237474173553719,0.9750845929981855,0.8273992807057982,0.9792078275175896,0.9873438527284681,0.7139528231727084,0.49324030048448764,0.5665143778554151,0.8053289450649487
7,8,0.9286867252066116,0.9749019634368854,0.8276435671336465,0.9788554091433347,0.98767258382643,0.713887225644057,0.49354066482643444,0.5643644181671594,0.8052083454905485
8,9,0.9290095557851239,0.974942547783841,0.8267066568338985,0.9782422216360763,0.9876314924391848,0.7176224709673729,0.4936307741290185,0.5651706530502553,0.8048387661496446
9,10,0.9297843491735537,0.9754583071930683,0.8264370795758728,0.9770032759122333,0.9870562130177515,0.7169466638698728,0.4938470364552202,0.5657081429723193,0.8051791681741614
10,11,0.9296229338842974,0.9755935883495869,0.8277769187836719,0.9771173624079222,0.9870973044049967,0.7180953833832306,0.4937779526565724,0.5667831228164472,0.8053989706242779
11,12,0.9293001033057852,0.9758134202289296,0.8284172366204323,0.9767471111669485,0.9875493096646942,0.7172006636029061,0.49358872312114593,0.5686643375436711,0.8057257565678139
12,13,0.9294938016528926,0.97547183530872,0.826838858900734,0.9768301363169182,0.9877958579881657,0.7180679239526324,0.4934565628106894,0.5673206127385112,0.8062120451742664
13,14,0.9292355371900826,0.9754380150195904,0.8270808461622028,0.9766818457981782,0.9868918474687706,0.7194569134837246,0.493441544593592,0.568395592582639,0.8062276064096728
14,15,0.9291386880165289,0.9759487013854482,0.8262680908469612,0.9763942542795775,0.9886587771203156,0.7197154897885241,0.49348960288830346,0.5665143778554153,0.8067722496488996
15,16,0.9298811983471074,0.9757119593615406,0.8261537073195686,0.9765600853229588,0.9885765943458251,0.7196544688316394,0.4936968542842468,0.568395592582639,0.8066283082213898
16,17,0.9282670454545454,0.9758658416770806,0.8266606735063036,0.9768418300000125,0.98853550295858,0.7199405045670372,0.4936127522685017,0.569201827465735,0.8065660632797638
17,18,0.9286867252066116,0.9760806005130538,0.8274119261208867,0.9762920807235409,0.9884533201840895,0.7198085467477737,0.49370886885792464,0.569201827465735,0.8063170835132601
18,19,0.928460743801653,0.9758556955903416,0.8274377917426589,0.975862301327065,0.9886176857330704,0.7195461566331687,0.4935917267645654,0.5705455522708949,0.8060642134379048
19,20,0.9284284607438016,0.975096430099381,0.8274033042469626,0.9758556870875648,0.9887820512820513,0.7189332773974562,0.4936758287803106,0.569201827465735,0.8062976319690021
20,21,0.9289127066115702,0.975299351834159,0.827234890309646,0.9760010541855311,0.9889464168310322,0.7183188726378216,0.49355568304353176,0.5705455522708949,0.8064454637053635
21,22,0.9292678202479339,0.9751471605330755,0.8269848559658481,0.9760085089085035,0.9889875082182775,0.7183062870654641,0.4935737049040486,0.5708142972319269,0.8062626191893375
22,23,0.9287835743801652,0.9753568463256794,0.8277240379569377,0.9756514130610108,0.9889464168310322,0.718186152056597,0.4933964899423,0.5705455522708949,0.8063326447486666
23,24,0.928073347107438,0.9752908967618764,0.8277843910744063,0.9752395030740136,0.989069690992768,0.7180915695734253,0.4932913624226186,0.5721580220370868,0.8066983337807189
24,25,0.9282347623966942,0.9754058857449173,0.8271360261553168,0.9754119848996546,0.9888231426692965,0.7183905722621612,0.4933334134304912,0.5721580220370868,0.8066788822364608
25,26,0.9275891012396693,0.9753500822678532,0.827253283640684,0.975230148127538,0.9889875082182775,0.7177117141168169,0.49346257009752825,0.5732330018812147,0.8069278620029645
26,27,0.9275245351239669,0.9753416271955708,0.8272417878087852,0.9747865190251473,0.989069690992768,0.7181411491008943,0.49363678141585743,0.5737704918032787,0.8068267139728222
27,28,0.9279119318181818,0.975416031831656,0.8274964204853426,0.9747670051914836,0.9888231426692965,0.7181388608150112,0.4930450636622223,0.5756517065305026,0.807176841769468
28,29,0.9283961776859504,0.9753483912533968,0.8280355750013939,0.9746329663490151,0.9889875082182775,0.7183036173986004,0.4925494624980101,0.5761891964525665,0.8069434232383709
29,30,0.9288158574380165,0.9752401663281819,0.8285546118116224,0.9748259121200714,0.9889053254437871,0.7185393108445682,0.492741695676856,0.5786079011018543,0.8069064653042806
30,31,0.9288804235537189,0.9752418573426385,0.8284471257833691,0.9749727409284243,0.988905325443787,0.7181701340554147,0.4927747357544702,0.5767266863746304,0.8072468673287971
31,32,0.9293323863636364,0.975246930386008,0.8283994180809894,0.9749698905931701,0.9890285996055227,0.7186575389485326,0.49277173211105074,0.5772641762966945,0.8072040739314295
32,33,0.9295260847107438,0.9752807506751376,0.8284908099445845,0.9750119878523096,0.9891107823800132,0.7187719532426918,0.4930270418017055,0.5778016662187584,0.807433602153675
33,34,0.9291709710743801,0.9753416271955709,0.8291368756972939,0.9753322485980552,0.9890285996055227,0.7190335805953357,0.4926906337387251,0.5786079011018543,0.8070095584888484
34,35,0.9293323863636362,0.9753010428486153,0.8289713357179521,0.9752267861936483,0.9891107823800132,0.7201426364867184,0.49262755722691626,0.5794141359849503,0.8069939972534419
35,36,0.9297843491735538,0.975481981395459,0.8287195769993694,0.975391155526643,0.989069690992768,0.7202028946816421,0.4925825025756242,0.5796828809459823,0.8070251197242551
36,37,0.9293969524793388,0.9753044248775283,0.8281433484254446,0.9751056834881029,0.9890285996055227,0.7189984935451268,0.4925284369940738,0.5799516259070142,0.8069978875622934
37,38,0.9295260847107438,0.9753551553112226,0.8277125421250391,0.9752289787592285,0.9891107823800132,0.7192769016609142,0.49252543335065435,0.5802203708680462,0.8068889589144482
38,39,0.929558367768595,0.975387284585896,0.8275395298549628,0.9749856770653474,0.9893162393162394,0.7193035983295513,0.49258550621904373,0.5804891158290783,0.8068033721197125
39,40,0.9296229338842976,0.9753889756003524,0.8281315651977483,0.9749437990627658,0.9893162393162394,0.7192418146107054,0.49248938962962074,0.5802203708680461,0.8069239716941128
40,41,0.929816632231405,0.9752841327040503,0.8282620428897992,0.9750917972394284,0.9893162393162394,0.7196468412120287,0.49248037869936234,0.5807578607901102,0.806573843897467
