,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9926035027673451,0.8670759949211415,0.9939655479246964,0.9991781722550954,0.7640884041112869,0.5102619477426118,0.5514646600376243,0.8059825169520209
1,2,0.9474108987603306,0.9913166407659619,0.8674007521722812,0.9954957394431073,0.9993425378040763,0.78317042009115,0.5164764859774907,0.5520021499596882,0.8162023583052258
2,3,0.948831353305785,0.9923447775555032,0.8601802201566767,0.9957241316910431,0.9997123602892835,0.8081577391735474,0.5113462630170397,0.5571083042192959,0.8173616703430087
3,4,0.9536092458677686,0.9924513114662616,0.8605383153203228,0.9961973604287665,0.9997123602892835,0.812404035010774,0.5078530257201985,0.5528083848427842,0.8199876288178518
4,5,0.9521887913223139,0.9926609972588656,0.8611056346245259,0.996339365592843,0.9997534516765286,0.8284555977193419,0.5066786011431866,0.556570814297232,0.8185287629984945
5,6,0.9522533574380165,0.9930668407284213,0.8603572559679173,0.996310496812704,0.9997534516765286,0.8288644381304704,0.503888216406501,0.5614082235958076,0.8180113519212289
6,7,0.9522210743801653,0.9931192621765724,0.8636657563883775,0.9963890637459939,0.9997123602892835,0.8338956160256288,0.5041285078800585,0.5597957538296157,0.818676594734856
7,8,0.9535446797520661,0.9929298685574462,0.8626483752653381,0.9964948184924781,0.9997534516765286,0.8365912167960183,0.5027918865583954,0.5606019887127116,0.8206684328668853
8,9,0.9541903409090908,0.9930685317428779,0.8642192806943022,0.9965193752269763,0.9997945430637739,0.8357842146412159,0.5032724695055102,0.5600644987906476,0.8215126298876867
9,10,0.9547068698347108,0.9931852117403751,0.8648682204049867,0.9965200329966503,0.9997945430637739,0.8365172288857954,0.5017496222918401,0.5608707336737436,0.8216059973001257
10,11,0.9559981921487604,0.9930347114537481,0.8647480889616447,0.9964873637695055,0.9997945430637739,0.8361312713334985,0.5038611836157258,0.5608707336737436,0.8205089302039689
11,12,0.9571926652892562,0.993198739856027,0.8645923204394167,0.9967924227272287,0.9997945430637739,0.8359497339867661,0.5038011107473366,0.5597957538296157,0.8201121187011037
12,13,0.9552556818181819,0.9932274871017873,0.8663327893888872,0.9967972463715049,0.9997945430637739,0.8384920196029825,0.503843161755209,0.5619457135178715,0.8198475776991936
13,14,0.9549974173553719,0.993205503913853,0.8678536879490919,0.9968205606521742,0.9997945430637739,0.8382311550122996,0.5036839686539772,0.5619457135178715,0.8192406895183408
