,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9926035027673451,0.8670759949211415,0.9939655479246964,0.9991781722550954,0.7640884041112869,0.5102619477426118,0.5514646600376243,0.8059825169520209
1,2,0.9474108987603306,0.9913166407659619,0.8674007521722812,0.9954957394431073,0.9993425378040763,0.78317042009115,0.5164764859774907,0.5520021499596882,0.8162023583052258
2,3,0.9530927169421488,0.9921435468351819,0.8750305358034811,0.9959352026708957,0.9995479947403024,0.7865906447245476,0.5086339730092602,0.5460897608169847,0.8173655606518602
3,4,0.9502195247933883,0.9921672210375727,0.8712242658618051,0.9958493271856718,0.9995890861275477,0.8029496005034229,0.5049094551691201,0.5509271701155604,0.8205789557632981
4,5,0.9512202995867768,0.9927607671117981,0.8691866296577517,0.9960209685278405,0.9995890861275477,0.808316393661448,0.5047742912152441,0.5568395592582639,0.8224813167917401
5,6,0.9549974173553719,0.9925493903047378,0.870987451724691,0.9960090190454285,0.9996712689020382,0.8022356553078699,0.503578841134296,0.5538833646869121,0.8237690090216262
6,7,0.9538997933884298,0.9930888239163557,0.871969195768844,0.99606529489532,0.9996301775147929,0.8101699052268263,0.49932267840891,0.5538833646869121,0.8221467502305009
7,8,0.9537706611570248,0.9933272569547197,0.8707506375875766,0.996104687990244,0.9996712689020382,0.8195953547796572,0.5002688260860424,0.5514646600376242,0.822605806674992
8,9,0.9538675103305785,0.9934591560823253,0.8695185718038281,0.9961722920956331,0.9995890861275477,0.8287797715527927,0.5015273526787994,0.5495834453104004,0.8199526160381873
9,10,0.9533832644628099,0.9935166505738457,0.8702270024445886,0.9962561942718346,0.999630177514793,0.8368475048149348,0.5007824491107713,0.5506584251545283,0.8208785095448727
10,11,0.953512396694215,0.9935335607184106,0.8691475438292962,0.9962598485478016,0.9995890861275477,0.8362205144829428,0.5014853016709269,0.5511959150765924,0.8210419025166409
11,12,0.9528344524793388,0.9935944372388439,0.8694481598334484,0.9966128516062115,0.9995479947403024,0.8392227455616789,0.5013501377170508,0.5525396398817521,0.8223529365996366
12,13,0.9518336776859504,0.9930397844971176,0.8691303000814481,0.9965802554645861,0.9995890861275476,0.8391579107949886,0.5011428863211075,0.5520021499596882,0.8222128854809784
13,14,0.9537383780991735,0.9929687618899454,0.8685756261923334,0.9967036238212311,0.999630177514793,0.8372098167464389,0.5025545987282574,0.5514646600376243,0.8223023625845656
