,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9921570749508337,0.8344192104547694,0.9932132055886158,0.9958908612754767,0.7093533685475105,0.4981782902660927,0.5568395592582639,0.8221973242455718
1,2,0.9474108987603306,0.9944044331634991,0.8490861675827888,0.9936218267272429,0.9981097961867192,0.7823596041265423,0.49940077313781617,0.5579145391023919,0.8285891016887832
2,3,0.948831353305785,0.9941457079516572,0.8551438962018347,0.9951782559470965,0.9989727153188691,0.7855929520794798,0.4990253177103827,0.5533458747648481,0.8244964967768791
3,4,0.9536092458677686,0.9938802186819895,0.860985503181184,0.9957953900723991,0.9989727153188691,0.7957956560706316,0.4976616635979443,0.5544208546089762,0.8239012795225813
4,5,0.9521887913223139,0.9940087357806823,0.861290142726501,0.9959056030355632,0.9995069033530571,0.8121774947083389,0.5009356349251642,0.5525396398817521,0.8243331038051112
5,6,0.9522533574380165,0.9938176511470996,0.8629863527231614,0.9960139888607435,0.9996712689020382,0.8138151446387369,0.5024194347743813,0.555495834453104,0.8235394807993808
6,7,0.9522210743801653,0.9937618476700357,0.86299899813825,0.9960634677573366,0.9997534516765285,0.8274937548864438,0.500536150350375,0.5546895995700081,0.8242514073192271
7,8,0.9535446797520661,0.9936671508604726,0.8732009741567951,0.9961278560998745,0.9997534516765285,0.8264907229076486,0.5017346040747427,0.5571083042192959,0.8238312539632522
8,9,0.9541903409090908,0.9935978192677568,0.8721830182421608,0.9961958987183795,0.9997534516765285,0.8286897656413874,0.5028489557833652,0.555495834453104,0.8243797875113306
9,10,0.9547068698347108,0.993489594342542,0.8714541824997801,0.9962638682513654,0.9997534516765285,0.8307942258919547,0.503014156171436,0.556570814297232,0.8229442635450828
10,11,0.9559981921487604,0.9933864424606966,0.8691429454965367,0.9963435314674454,0.9997534516765285,0.829609656566427,0.5029390650859493,0.5565708142972319,0.822430742776669
11,12,0.9571926652892562,0.9933746053595013,0.8702063099471709,0.9963248581172542,0.9997945430637739,0.8312999370721382,0.503296498652866,0.5576457941413598,0.8218121836692616
12,13,0.9552556818181819,0.9934202627498263,0.8683704255929406,0.9962657684748681,0.9998356344510191,0.8308449495623653,0.502731813690006,0.5587207739854878,0.8218121836692615
13,14,0.9549974173553719,0.9934845212991726,0.8690837419622579,0.9962991685572062,0.9998356344510191,0.8298743349669151,0.5041225005932195,0.5606019887127116,0.821213076106112
14,15,0.9548360020661157,0.9934794482558031,0.8691440950797265,0.9963577100581973,0.9998356344510191,0.8299727312598921,0.5045189815245893,0.5614082235958076,0.8193262763130766
