,number of Autoencoders,magic_telescope,pendigits,phoneme,waveform
0,1,0.9949315923193258,0.9993014464168309,0.7581159779561794,0.8149730207081141
1,2,0.9954537152694871,0.9981508875739645,0.8250750367079195,0.8211372150835055
2,3,0.9961482469597703,0.9992192636423406,0.8404584199385976,0.8235005777108644
3,4,0.9965046119520695,0.9995069033530573,0.8375309395320456,0.8287719462048092
4,5,0.9966680311733127,0.9997945430637739,0.832759863465609,0.82634828379025
5,6,0.996583909740553,0.999465811965812,0.825444213497073,0.825449622445526
6,7,0.9968087938835606,0.9994247205785667,0.8394920005339332,0.8297172912557528
7,8,0.9970002779442301,0.9990548980933596,0.8434305219198719,0.8294216277830297
8,9,0.9968948155398232,0.9995069033530571,0.8428443393527963,0.8294410793272878
9,10,0.997034920480397,0.9995479947403024,0.8499159054937929,0.8295655692105396
10,11,0.9971413329965553,0.9995069033530573,0.8483263095669419,0.8284023668639053
11,12,0.9970151143046561,0.9993425378040762,0.8484712343395434,0.8275348279899941
12,13,0.997075190601553,0.999465811965812,0.848200453843367,0.8280133359787434
13,14,0.9969824450775112,0.9994247205785667,0.8462965999885586,0.8273130803854518
14,15,0.9970234460538608,0.9995479947403024,0.8453202646784006,0.8270407587658385
15,16,0.9969975006944952,0.9996712689020382,0.8428649339257451,0.8277449046679817
16,17,0.9969674625460467,0.9997123602892835,0.841250166854179,0.8275426086076973
17,18,0.9968269921778761,0.9996301775147929,0.8467016265898819,0.8267684371462249
18,19,0.9967494484418569,0.9995890861275476,0.8446299651036403,0.8270991133986126
19,20,0.9967845294911399,0.9995479947403024,0.844825232165672,0.8266361666452701
20,21,0.9968810023766679,0.9996301775147929,0.8443957971815945,0.8266322763364184
21,22,0.996873693824734,0.9996301775147929,0.8418115596575199,0.8263249419371405
22,23,0.9969187145046472,0.9996712689020381,0.8422059075913884,0.8259281304342753
23,24,0.9968709896605185,0.9997123602892833,0.8408283594897124,0.8259903753759011
24,25,0.9968101825084279,0.9996301775147929,0.8395797181594553,0.825029469089551
25,26,0.9968326928483845,0.9996301775147929,0.8412066894223984,0.8251617395905061
26,27,0.9968595152339821,0.9996712689020381,0.8414584008695486,0.825593563873036
27,28,0.9968849489947122,0.9997534516765285,0.8414942506817186,0.8253718162684935
28,29,0.9968558609580153,0.9997945430637739,0.8409824374058467,0.824640438204389
29,30,0.9968277961185888,0.9997534516765285,0.8386804218073644,0.8241541495979366
30,31,0.9968530106227609,0.9997945430637739,0.8370954024522798,0.8247727087053442
31,32,0.9968147868961463,0.9997534516765286,0.8387643256230811,0.8246482188220923
32,33,0.9967794135047862,0.9997534516765286,0.8410221010278217,0.824508167703434
33,34,0.9967975387135823,0.9997945430637739,0.8412593199977116,0.8244809355414726
34,35,0.9968041894958422,0.9997945430637739,0.8400999218168992,0.8238351442721039
