,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9214876033057852,0.9754160318316561,0.8442924056810103,0.9791071156719399,0.9875493096646943,0.708484582673862,0.4888609883789036,0.5339962375705456,0.8086979525304514
1,2,0.9269757231404959,0.9736421576668058,0.8423294923842988,0.9767078642430631,0.989973701512163,0.7095982151370112,0.4840101042564631,0.5339962375705456,0.8104602624402352
2,3,0.9296229338842976,0.9725835826170478,0.838880168023079,0.9775388465979531,0.994000657462196,0.7271859804351557,0.4832531861147572,0.5339962375705456,0.8095499301689562
3,4,0.9299134814049587,0.9720170927741262,0.8374661806995328,0.9801694867810586,0.9965483234714004,0.7188764516313572,0.48482108797971946,0.5337274926095135,0.8093943178148912
4,5,0.9212616219008264,0.9718699745164121,0.8339852428005916,0.9809863636307161,0.996301775147929,0.7214439083922884,0.48711887519561226,0.5337274926095135,0.8081961026885924
5,6,0.9222301136363638,0.9715047153938118,0.8317929876575001,0.9781605851109741,0.9959319526627218,0.722125817585477,0.4889811341156823,0.5342649825315775,0.8056401697730784
6,7,0.9227143595041323,0.9711884956904496,0.8332368641439829,0.9758646766064434,0.9956854043392505,0.7152197707900307,0.4897740959784218,0.5337274926095136,0.8040451431439142
7,8,0.9262977789256198,0.9716129403190268,0.8344025414985161,0.9751581588909886,0.996137409598948,0.7147888102820312,0.49041987931360737,0.5337274926095136,0.8025784967068536
8,9,0.921745867768595,0.9715774290154406,0.8345904983500607,0.9740028960867892,0.9964661406969099,0.7155683530062356,0.4903417845847013,0.5339962375705456,0.8011663145937156
9,10,0.9246513429752067,0.9713677432228368,0.8315964089320314,0.9731581736542636,0.9958908612754767,0.7175088194351747,0.4908854440436249,0.5337274926095136,0.8005088523977919
10,11,0.9233923037190083,0.9714438388733785,0.8302835849291943,0.9747331665960296,0.9954388560157791,0.7172662611315573,0.4919427265272776,0.5339962375705456,0.7992483923298671
11,12,0.9246513429752066,0.9708232365678493,0.8301628786942575,0.9765404253182564,0.9953977646285338,0.7183829446425507,0.4921770107139961,0.5337274926095136,0.7984275371621752
12,13,0.9237474173553719,0.9704106290404676,0.8296214250118263,0.9763075748536407,0.9959319526627219,0.7187132205716901,0.4928408159096985,0.5339962375705455,0.7973110185217605
13,14,0.9270080061983471,0.9703903368669899,0.8297300606232695,0.9769051951452798,0.9955621301775148,0.7188047520070173,0.49200880668250585,0.5337274926095136,0.7974355084050122
14,15,0.927395402892562,0.9705763484572031,0.8299088208092951,0.9773684111668534,0.9965894148586456,0.7222585381667015,0.49222506900870755,0.5337274926095136,0.7961089130866099
15,16,0.9264914772727273,0.9703294603465564,0.8295616466859529,0.9767280358464008,0.996301775147929,0.7238618638088519,0.4930450636622223,0.5337274926095136,0.7956615275686737
16,17,0.9263300619834711,0.9701671229587343,0.8303307178399792,0.9767594626197169,0.9962606837606838,0.7244080013729715,0.49265759366111095,0.5337274926095136,0.7936074444950184
17,18,0.9267820247933883,0.9699117797758053,0.8322585688493993,0.9761947308117807,0.9962195923734385,0.7244568181384794,0.49233019652838894,0.5337274926095136,0.7927399056211072
18,19,0.9263623450413223,0.9697494423879829,0.8322493721838804,0.9760880990390642,0.9960552268244576,0.7237329570374326,0.49227613094683853,0.5337274926095136,0.7918490248940864
19,20,0.9259426652892562,0.969697020939832,0.8328258881536028,0.9763963006741189,0.9959319526627219,0.7221479376823479,0.4928588377702153,0.5337274926095136,0.7901178374551154
20,21,0.9272339876033058,0.969560048768857,0.8334782766138568,0.9770433998623508,0.9959319526627219,0.7219824183367975,0.49269964466898347,0.5337274926095136,0.7891296990068042
21,22,0.9286544421487604,0.9695904870290736,0.8335248347330466,0.9765653474803513,0.9968770545693623,0.7218336797543906,0.49307209645299754,0.5337274926095136,0.7885150302082482
22,23,0.9292355371900827,0.9697629705036348,0.8340076596727941,0.976612487640325,0.9967537804076265,0.7226826338170516,0.4931441838950647,0.5337274926095136,0.7874879886714207
23,24,0.9293001033057852,0.9696513635495071,0.8344169112883896,0.9764764024033149,0.996137409598948,0.7234583627314505,0.4928288013360206,0.5337274926095136,0.7863325669424895
24,25,0.9299780475206612,0.969664891665159,0.8341450348639842,0.9762306888872956,0.9965894148586456,0.7226788200072463,0.49351963932249815,0.5337274926095136,0.7856789950554175
25,26,0.9301071797520661,0.9694704250026633,0.8341053742439335,0.9753667449631835,0.9974112426035503,0.7240983200167808,0.4933724607949443,0.5337274926095136,0.785243280464036
26,27,0.9285253099173554,0.9693419079039707,0.834854902483732,0.9756126046502417,0.9976166995397765,0.7239686504834003,0.4932793478489408,0.5337274926095136,0.7839789300872597
27,28,0.9280410640495869,0.9692742673257113,0.834956065804441,0.9759131323057655,0.9975756081525313,0.7238473713315917,0.4931021328871922,0.5337274926095136,0.7836365829083172
28,29,0.9276859504132231,0.9692844134124501,0.834854902483732,0.9759986423633927,0.9974934253780408,0.7242539234568373,0.4933724607949443,0.5337274926095136,0.7828157277406254
29,30,0.9280087809917356,0.9693334528316883,0.8349273262246941,0.9761882262005593,0.9973701512163051,0.7250609256116398,0.4930330490885444,0.5337274926095136,0.7820493368968562
30,31,0.9278473657024793,0.9692691942823418,0.8351773605684919,0.9765453951335715,0.9972057856673242,0.7259503060582368,0.492882866917571,0.5337274926095136,0.7813724231566744
31,32,0.9279442148760331,0.9690442893596297,0.8348663983156308,0.9763250422927628,0.9970414201183432,0.7268145153601189,0.4926605973045304,0.5337274926095136,0.7811856883317967
32,33,0.9274922520661157,0.9688532047260473,0.8352888701379098,0.9767639939219158,0.9965483234714004,0.7270540226158921,0.4928948814912489,0.5337274926095136,0.7803920653260662
33,34,0.9270402892561984,0.9689360644344148,0.8354090015812518,0.9766621127079567,0.9967537804076266,0.7262302396979463,0.49313216932138687,0.5337274926095136,0.780026376294014
34,35,0.9270402892561984,0.9690544354463686,0.8349733095522891,0.9764215882638103,0.9967126890203812,0.7265856867718006,0.49301502722802765,0.5337274926095136,0.7801780983392272
35,36,0.9263623450413223,0.9689563566078926,0.8342502217258578,0.9759464593025844,0.9967537804076265,0.7262782937014931,0.49299400172409136,0.5337274926095136,0.779719041894736
36,37,0.9264914772727273,0.9691863345739743,0.8341231927833765,0.976092337999186,0.9965483234714003,0.72600293663355,0.4929609616464772,0.5337274926095136,0.7789993347571864
37,38,0.9263946280991735,0.969118693995715,0.8342370015191742,0.9767726910987173,0.9968359631821171,0.7251646612383441,0.4930720964529975,0.5337274926095136,0.7789643219775219
38,39,0.9264269111570248,0.9690476713885428,0.8343094252601363,0.97688414651571,0.9967126890203813,0.7252691596270093,0.4931862349029373,0.5337274926095136,0.7785869620189148
