,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9214876033057852,0.9754160318316561,0.8442924056810103,0.9791071156719399,0.9875493096646943,0.708484582673862,0.4888609883789036,0.5339962375705456,0.8086979525304514
1,2,0.9269757231404959,0.9736421576668058,0.8423294923842988,0.9767078642430631,0.989973701512163,0.7095982151370112,0.4840101042564631,0.5339962375705456,0.8104602624402352
2,3,0.9315599173553719,0.9763427077538085,0.8419581770139691,0.9802747299289075,0.9902613412228797,0.727578040083141,0.4824542169651788,0.5337274926095136,0.8090792027979101
3,4,0.9286544421487604,0.9778443285911652,0.8357860648675306,0.9773771814291741,0.9904257067718606,0.731728990675235,0.4862027639526746,0.5334587476484816,0.8089819450766197
4,5,0.9286867252066116,0.9773945187457408,0.8361591046126451,0.974806690628485,0.9914119000657462,0.7326069296924163,0.48744326868491483,0.5337274926095136,0.8095538204778078
5,6,0.9287190082644629,0.9778020532297531,0.8363941943749744,0.9751509234245741,0.9929733727810651,0.728615396350184,0.48741022860730066,0.5339962375705456,0.8096316266548401
6,7,0.9277827995867769,0.9780489413403995,0.8369465690977094,0.9757998497507894,0.9933431952662722,0.7290150836177799,0.4865571938761718,0.5339962375705456,0.8091064349598714
7,8,0.9271694214876034,0.9784446387232164,0.8392336648539656,0.9763142256359008,0.9923980933596318,0.7320928281306611,0.48708283147457865,0.5339962375705456,0.809028628782839
8,9,0.9262654958677685,0.9784175824919127,0.8408126173652589,0.9770634252946498,0.9937541091387245,0.7303178810472721,0.48581229030814377,0.5339962375705456,0.8089936160031745
9,10,0.9275891012396694,0.9787456392964704,0.8423754757118938,0.9773000031207516,0.9947813938198554,0.7300387101695238,0.4868635655049575,0.5339962375705456,0.8091025446510198
10,11,0.9276213842975206,0.9787287291519056,0.8411482956567022,0.9764611275297731,0.9952744904667982,0.7299090406361435,0.48623880767370825,0.5342649825315776,0.8093670856529299
11,12,0.9282993285123967,0.978825116975925,0.839589460851232,0.9761171139902419,0.9946581196581197,0.7303743254323907,0.48632591333287273,0.5342649825315776,0.8094371112122591
12,13,0.9296552169421488,0.9790128195805946,0.838687612838775,0.9749410948985503,0.995767587113741,0.7278617875326556,0.48669235783004783,0.5342649825315776,0.8093009504024525
13,14,0.9288804235537189,0.978782841614513,0.8374592832003936,0.9759639998272258,0.9959730440499672,0.7284041112869701,0.4834063719291501,0.5345337274926095,0.8090480803270972
14,15,0.9301717458677685,0.9788741563951631,0.8367953989082408,0.9759341809353352,0.9959730440499672,0.7254468831639365,0.4840942062722082,0.5342649825315776,0.8089858353854712
15,16,0.9296552169421488,0.9788098978458167,0.8366534253842913,0.9765202537149186,0.9957264957264957,0.725552144314563,0.484767022398169,0.5342649825315776,0.8089897256943228
16,17,0.9304622933884297,0.9792732358068928,0.8368971370205447,0.97620364724514,0.9943704799474031,0.7250815201845885,0.48611866193692954,0.5342649825315776,0.808771868398632
17,18,0.9309788223140496,0.979550562177756,0.8378231262799889,0.9757717118258438,0.993466469428008,0.7232951316717835,0.48640100441835943,0.5342649825315776,0.8086629397507868
18,19,0.9318504648760331,0.9792444885611327,0.8370718736654058,0.9756910984980122,0.9933842866535174,0.7239900078183101,0.48681250356682654,0.5342649825315776,0.8087524168543743
19,20,0.9309465392561984,0.9791328816070048,0.8369712851362918,0.9752528777240527,0.9932610124917818,0.7236704105566255,0.4869807075983168,0.5342649825315776,0.8091103252687231
20,21,0.9314307851239669,0.978730420166362,0.8367350457907724,0.9751369640903801,0.9935075608152532,0.7221174272039054,0.48732612659155555,0.5342649825315776,0.8090597512536519
21,22,0.9321410123966942,0.9783989813328915,0.8363217706340124,0.9756159665841311,0.9935486522024984,0.7235887950267921,0.4867794634892124,0.5342649825315776,0.8093787565794849
22,23,0.9306559917355371,0.9786340323423425,0.8356785788392773,0.9753256709013147,0.9935486522024984,0.7228039129688602,0.4866202703879806,0.5342649825315776,0.8092425957696782
23,24,0.9302040289256197,0.978677998718211,0.8353434753394288,0.9753331987098067,0.9931788297172913,0.7227878949676779,0.4871218788390318,0.5342649825315776,0.8092503763873814
24,25,0.9300426136363636,0.979263089720154,0.8354354419946188,0.9756259062147614,0.993302103879027,0.7231326633740776,0.48706480961406184,0.5337274926095135,0.809530478624698
25,26,0.92942923553719,0.9792157413153726,0.8366735430901142,0.9760977463276171,0.9930966469428009,0.7240388245838181,0.48709184240483705,0.5337274926095135,0.8097716777734985
26,27,0.9296229338842975,0.9794998317440616,0.836582151226519,0.9756569675604805,0.9936308349769889,0.7237558398962644,0.48718795899426,0.5339962375705456,0.8095499301689562
27,28,0.9296875,0.9798820010112266,0.8363033773029743,0.9753927634080684,0.9936308349769889,0.7240601819187278,0.48710385697851494,0.5339962375705456,0.8094682336830721
28,29,0.9300426136363636,0.9801880746278498,0.836141860864797,0.9754638025328664,0.9932199211045365,0.7280601056425317,0.48726905736658566,0.5337274926095135,0.8095149173892915
29,30,0.9289772727272727,0.9808374241791393,0.836223481271278,0.9759619534326843,0.9932199211045365,0.7294292633626361,0.4877376257400227,0.5339962375705456,0.8093242922555621
30,31,0.9279442148760331,0.9808137499767484,0.8358992988117334,0.9758255027680774,0.9935486522024983,0.7273842985450316,0.4884675110909533,0.5339962375705456,0.8093087310201558
31,32,0.9282670454545455,0.980903373742942,0.8356205248881885,0.9756422042855739,0.993836291913215,0.7290745790507427,0.4883864127186277,0.5339962375705456,0.8094254402857043
32,33,0.9281056301652892,0.9809794693934838,0.8358809054806954,0.9752585783945611,0.993836291913215,0.7282057931770943,0.4884585001606949,0.5339962375705456,0.8093009504024524
33,34,0.928460743801653,0.9810504920006562,0.8358291742371509,0.9753256709013147,0.9942472057856673,0.7284071623348144,0.48887600659600094,0.5337274926095135,0.8091258865041296
34,35,0.928880423553719,0.9811790090993487,0.8359745965106702,0.9751038563501194,0.9944937541091388,0.7294735035563776,0.4883053143463021,0.5337274926095135,0.8091492283572392
35,36,0.9293323863636365,0.9811468798246756,0.8368448309854055,0.9752565320000195,0.9946581196581197,0.730764859556454,0.48879791186709476,0.5337274926095135,0.8091881314457556
36,37,0.9295906508264462,0.9810927673620682,0.8366384808028229,0.9753364875581769,0.9947813938198553,0.7314444804637592,0.48863271147902404,0.5337274926095135,0.8091686799014974
37,38,0.9302363119834711,0.9810657111307646,0.8370419845024691,0.9754023376111018,0.9950279421433268,0.7311599702522835,0.48885798473548414,0.5337274926095135,0.80895860322351
38,39,0.9305268595041322,0.9810640201163079,0.8365810016433292,0.9752039835116144,0.9955210387902695,0.7304132262924048,0.48913732357349465,0.5337274926095135,0.8089975063120263
