,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9926035027673451,0.8670759949211415,0.9939655479246964,0.9991781722550954,0.7640884041112869,0.5102619477426118,0.5514646600376243,0.8059825169520209
1,2,0.9300426136363636,0.9918560743775798,0.8670662234640276,0.9953500800030638,0.9993425378040763,0.7834434888732099,0.5072462897494661,0.5517334049986563,0.8082622379390701
2,3,0.9360472623966942,0.9913910454020471,0.8651429707873668,0.9957486884255413,0.9995890861275477,0.7892153086325585,0.5063542076538841,0.5514646600376243,0.8096471878902467
3,4,0.9331095041322314,0.9910596065685765,0.8627932227472623,0.996176384884716,0.9997123602892833,0.7951351042123529,0.5057654935436684,0.5514646600376243,0.8101879408206217
4,5,0.9323669938016529,0.9908921961373848,0.8605682044832594,0.9962914214921563,0.999630177514793,0.7975850956312809,0.5058015372647021,0.5514646600376243,0.810573081396932
5,6,0.9313985020661157,0.9908533028048857,0.8632904174768832,0.9963118854375714,0.999630177514793,0.7988779771552792,0.5044949523772335,0.5514646600376243,0.8102190632914348
6,7,0.9318181818181817,0.9906622181713032,0.8686256330610929,0.9962858669926865,0.9997123602892835,0.7979657138498504,0.5040834532287665,0.5511959150765924,0.8101996117471767
7,8,0.9316890495867769,0.9904356222341344,0.8719841403503125,0.9962939794853333,0.999630177514793,0.8002311168742015,0.5039783257090851,0.5514646600376243,0.8104485915136803
8,9,0.9303008780991735,0.9904153300606567,0.8706431515593234,0.9963925718509222,0.9996712689020382,0.8038565244751245,0.5036299030724268,0.5514646600376243,0.8107053518978872
9,10,0.9300426136363635,0.9902918860053335,0.8713329014732483,0.996381097424386,0.9996712689020382,0.8065933143914112,0.5040263840037966,0.5514646600376243,0.810522507381861
10,11,0.9326252582644629,0.9903984199160918,0.8714317656275775,0.9964813707569197,0.9997123602892835,0.8083476669018516,0.5045009596640726,0.5514646600376243,0.8105497395438224
11,12,0.9310111053719008,0.9904085660028308,0.8711374723309697,0.9965407892841428,0.9996712689020382,0.8091256841021338,0.5041585443142532,0.5511959150765924,0.8108687448696552
12,13,0.9308496900826446,0.9902732848463122,0.8708609975738046,0.9965842751681498,0.9997123602892835,0.8109425830933812,0.5039062382670179,0.5511959150765924,0.8109621122820941
13,14,0.9296875,0.9903121781788113,0.8697453270880311,0.9965066583466111,0.9997534516765286,0.8128174519936691,0.5038581799723064,0.5511959150765924,0.8111488471069718
14,15,0.9303008780991735,0.9902174813692481,0.8687653074186625,0.9965182058586669,0.9996712689020382,0.815366602467535,0.5035698302040374,0.5511959150765924,0.811012686297165
15,16,0.9283316115702479,0.9899891944176231,0.8688222117865614,0.9965852983654204,0.9997945430637739,0.8154360138059914,0.5018937971759745,0.5511959150765924,0.8111760792689331
