,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9926035027673451,0.8670759949211415,0.9939655479246964,0.9991781722550954,0.7640884041112869,0.5102619477426118,0.5514646600376243,0.8059825169520209
1,2,0.9300426136363636,0.9918560743775798,0.8670662234640276,0.9953500800030638,0.9993425378040763,0.7834434888732099,0.5072462897494661,0.5517334049986563,0.8082622379390701
2,3,0.9348527892561983,0.9918797485799705,0.8725411134058071,0.9960139888607437,0.9989727153188692,0.7861505310730152,0.507258304323144,0.5517334049986563,0.8083594956603606
3,4,0.9355630165289256,0.9920099566931198,0.8669506903534451,0.996203938125507,0.9990138067061144,0.7909376251406341,0.507579694169027,0.5511959150765924,0.8090325190916906
4,5,0.9373063016528925,0.9923278674109385,0.8672490071912177,0.9964436586289405,0.9990138067061144,0.7966385080376042,0.5078289965728429,0.5511959150765924,0.809662749125653
5,6,0.9384362086776858,0.9925595363914766,0.8686560970156246,0.9963760545235514,0.999095989480605,0.7968688621498445,0.5077569091307756,0.5511959150765924,0.8111332858715654
6,7,0.941277117768595,0.9926694523311479,0.8683313397644851,0.9964669729096098,0.9990548980933596,0.8043607101313857,0.5089493555683043,0.5511959150765924,0.8116390260222759
7,8,0.9421164772727273,0.9926407050853877,0.8686296566022575,0.9963005571820737,0.9992192636423406,0.8055086668827826,0.5087781478933947,0.5511959150765924,0.8119891538189216
8,9,0.9437951962809917,0.992623794940823,0.8681433829129404,0.9963692575702529,0.9991781722550953,0.8082980873743827,0.5079761751003967,0.5511959150765924,0.8129150473256072
9,10,0.9446668388429752,0.9925899746516933,0.8702247032782089,0.9965575258680716,0.99913708086785,0.8138098053050096,0.5072913444007582,0.5514646600376243,0.8132107107983303
10,11,0.9449896694214877,0.9925882836372368,0.8703321893064623,0.9965764550175804,0.9990548980933596,0.8150973474952804,0.5067146448642202,0.5514646600376243,0.8137475734198538
11,12,0.945990444214876,0.9926948175479952,0.8715564954036791,0.9965825942012048,0.9991781722550953,0.8175214050075323,0.5070300274232644,0.5514646600376243,0.8147901761920877
12,13,0.9453447830578512,0.9926677613166915,0.8702879303536519,0.9965185712862635,0.9992603550295858,0.8185915600389009,0.5071441658732042,0.5514646600376243,0.8153853934463857
13,14,0.9442471590909092,0.992623794940823,0.8692061725719797,0.9964792512768589,0.9992603550295858,0.8213169085257719,0.5073904646336006,0.5514646600376243,0.8161595649078579
14,15,0.9436660640495866,0.9927083456636472,0.8688969346939034,0.9965241257857334,0.9992603550295858,0.8203626933124846,0.506975961841714,0.5511959150765923,0.8164241059097681
15,16,0.9444408574380165,0.9927168007359295,0.8673616663438253,0.9965935570291058,0.9992603550295858,0.8227394595831506,0.5064893716077602,0.5511959150765923,0.8166769759851236
