,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9430849690082643,0.9927421659527768,0.8549927260123661,0.9949167559588998,0.9968770545693623,0.7451208024255831,0.49904634321431895,0.5503896801934964,0.8095577107866594
1,2,0.9331417871900827,0.9936705328893857,0.8619528774354638,0.9955815418428119,0.9989316239316239,0.7963646764935832,0.4944057141312412,0.5520021499596882,0.8157899855669541
2,3,0.9387590392561983,0.994169382154048,0.8616953708009318,0.9953600927192133,0.9984796186719264,0.7993997063366449,0.5004130009701768,0.5501209352324644,0.8283284509957246
3,4,0.9409220041322314,0.9941355618649184,0.8571229036632042,0.995708783731982,0.9986850756081525,0.8038565244751243,0.5059006574975445,0.5498521902714324,0.8268151208524444
4,5,0.9449896694214877,0.9941271067926359,0.8622488951068566,0.9958523967774843,0.9989727153188691,0.8188470852958563,0.5037710743131418,0.5487772104273045,0.8298767939186692
5,6,0.946119576446281,0.9941017415757887,0.8616942212177419,0.9959766421603613,0.99913708086785,0.8284418680040426,0.5055642494345642,0.5533458747648481,0.8320203540959117
6,7,0.9458935950413223,0.9937263363664496,0.8643957417139481,0.9961159431602223,0.9990548980933596,0.8333899048454454,0.5042877009812903,0.5522708949207202,0.831720800314337
7,8,0.94505423553719,0.993545397819606,0.8628357573252878,0.996265914645907,0.9996301775147929,0.833736961537728,0.5041164933063806,0.5528083848427842,0.831004983485639
8,9,0.9451188016528925,0.9936553137592773,0.8636065528540988,0.9961733883784231,0.9995069033530571,0.827147460956122,0.5038611836157258,0.5538833646869121,0.8297912071239335
9,10,0.9457644628099173,0.9936975891206894,0.8643267667225556,0.9963333725802572,0.9995069033530571,0.8306904902652505,0.5049394916033149,0.5544208546089762,0.8300635287435469
10,11,0.9503486570247934,0.9938125781037302,0.8638393434500485,0.9963688921426562,0.9995890861275476,0.8350885757327282,0.5055642494345641,0.5525396398817521,0.8294216277830296
11,12,0.9500258264462811,0.9939191120144887,0.8629921006391108,0.9961513165515825,0.9996301775147929,0.8329459773841079,0.5052578778057784,0.5517334049986563,0.8280600196849628
12,13,0.9518336776859504,0.9938649995518811,0.8630030216794147,0.9961035186219346,0.9995479947403024,0.8384401517896303,0.5043898248575522,0.5528083848427842,0.8279277491840078
13,14,0.9517045454545454,0.9938768366530765,0.8636628824304027,0.9961302679220128,0.9995890861275476,0.8324921340172766,0.5044649159430389,0.5514646600376243,0.8288614233083965
14,15,0.9508006198347106,0.9938531624506858,0.863541601403871,0.996258167580857,0.9995069033530571,0.8336408535306343,0.5052368523018421,0.5533458747648482,0.8300168450373275
15,16,0.9511234504132232,0.9937584656411228,0.8646779643870623,0.9962925908604658,0.9995069033530571,0.8347979634255639,0.5039783257090851,0.5525396398817521,0.8299351485514435
16,17,0.9522533574380164,0.9937753757856876,0.8661252896231149,0.9962713960598574,0.999465811965812,0.8368070784309987,0.5029210432254325,0.5536146197258801,0.829725071873456
17,18,0.9529635847107438,0.9937314094098191,0.8661574779524315,0.9962102965656896,0.999465811965812,0.8361061001887836,0.5031403091950536,0.5536146197258802,0.8295033242689136
18,19,0.9537383780991736,0.993734791438732,0.8661959889892922,0.9962874017885927,0.999465811965812,0.83519765069316,0.5030291743885333,0.5514646600376243,0.8292776863555198
19,20,0.9538675103305786,0.993741555496558,0.8679657723101046,0.9963468203158157,0.9994247205785667,0.8360206708491447,0.5030652181095668,0.5528083848427842,0.8291570867811195
20,21,0.9535123966942148,0.9937094262218847,0.8672628021894961,0.9963672842612308,0.9993836291913214,0.8360077038958066,0.5035337864830038,0.5520021499596882,0.827709891888317
21,22,0.952447055785124,0.9937128082507978,0.8668748178629133,0.9964337189983103,0.9993425378040762,0.8345805762666616,0.5035578156303596,0.5522708949207202,0.8280755809203694
22,23,0.9533186983471075,0.9936891340484069,0.8674128227957747,0.9963946182454637,0.9992192636423405,0.8348185579985126,0.503843161755209,0.5533458747648482,0.8280172262875949
23,24,0.9526730371900827,0.9938075050603608,0.8667247972566346,0.9964027307381105,0.9991781722550953,0.8363288266814134,0.5033956188857084,0.5528083848427842,0.8280639099938143
24,25,0.9526730371900827,0.9938599265085117,0.8668960851519261,0.9964106970597183,0.9992192636423405,0.8359947369424687,0.5035037500488092,0.5528083848427843,0.8278304914627173
25,26,0.9526084710743801,0.993927567086771,0.865682700095013,0.9964545483713222,0.9993014464168309,0.8355363170038712,0.5033685860949332,0.5525396398817521,0.8282545351275439
26,27,0.9524793388429752,0.99393771317351,0.865718337173899,0.9964712118697315,0.9993014464168309,0.8363509467782841,0.5038161289644338,0.5514646600376243,0.8279938844344852
27,28,0.9520596590909092,0.9939749154915525,0.8659367579799755,0.996472161981483,0.9993836291913215,0.8358109113098531,0.5043778102838743,0.5522708949207202,0.8273675447093745
28,29,0.952447055785124,0.994067921286659,0.8664138350037734,0.9964903602757985,0.9993836291913215,0.8378238401250929,0.5036268994290074,0.5509271701155602,0.8265622507770891
29,30,0.9530927169421488,0.9940002807083997,0.8670886403362301,0.9965019808733735,0.999465811965812,0.8377994317423391,0.5039693147788268,0.5503896801934964,0.8259592529050882
30,31,0.95286673553719,0.9940848314312238,0.8661040223341022,0.996489629420605,0.999465811965812,0.8380686867145936,0.5037410378789472,0.5509271701155602,0.8260176075378625
31,32,0.9527698863636362,0.9941118876625276,0.8668713691133438,0.996503808011357,0.999465811965812,0.8384973589367098,0.5037380342355277,0.5493147003493685,0.8262743679220694
32,33,0.95286673553719,0.9941457079516572,0.8681382097885859,0.9964853904604832,0.999465811965812,0.8390869739326099,0.5033145205133828,0.5493147003493684,0.8268306820878508
33,34,0.9529313016528926,0.9939275670867711,0.8688612976150172,0.9965163787206832,0.999465811965812,0.8384653229343452,0.5032184039239598,0.5495834453104005,0.8264805542912051
34,35,0.952995867768595,0.9939580053469877,0.8686509238912701,0.9965315805087059,0.999465811965812,0.8385156652237752,0.5031162800476978,0.5493147003493685,0.8270641006189481
35,36,0.953544679752066,0.9939715334626396,0.8686239086863081,0.996568196353895,0.999465811965812,0.8384683739821895,0.5031823602029262,0.5487772104273045,0.8271224552517225
36,37,0.9535123966942148,0.9939478592602488,0.8683807718416496,0.9965573066115135,0.9995479947403024,0.8384962147937682,0.5032664622186712,0.5487772104273044,0.8274103381067422
37,38,0.9541580578512397,0.9940036627373128,0.8688883128199794,0.9965342846729215,0.9995890861275476,0.8372204954138937,0.503431662606742,0.5490459553883364,0.8274297896510004
38,39,0.9538352272727273,0.9939867525927478,0.8686250582694981,0.9965532138224305,0.9995479947403024,0.8372128677942832,0.5031162800476978,0.5482397205052405,0.8271107843251675
39,40,0.9538352272727272,0.9939816795493784,0.8693487208875241,0.9966269571114439,0.9995479947403024,0.8359787189412864,0.5026747444650361,0.5490459553883364,0.8273286416208583
40,41,0.9536415289256199,0.9939782975204655,0.8689118792753717,0.9966048852846034,0.9995069033530571,0.8350130622985831,0.503002141597758,0.5485084654662725,0.8268267917789993
41,42,0.9533186983471075,0.9937161902797107,0.8688670455309666,0.9966605764503401,0.9995479947403024,0.8367300394729315,0.502872984930721,0.5495834453104004,0.8268656948675155
42,43,0.9532218491735538,0.9937736847712311,0.8687400165884855,0.9966385046234996,0.9995890861275476,0.836524093743445,0.5030952545437616,0.5495834453104005,0.8268929270294769
43,44,0.95286673553719,0.9937821398435135,0.8705138234504624,0.9966591878254726,0.9995890861275476,0.8343395434869663,0.503341553304158,0.5501209352324644,0.8270290878392836
44,45,0.9530604338842975,0.993787212886883,0.8706075144804373,0.9966787016591364,0.9996301775147929,0.8341465647108178,0.50310426547402,0.5501209352324643,0.826717863131154
45,46,0.9533832644628099,0.9937500105688404,0.8712576037743116,0.9966730009886279,0.9995890861275476,0.8334570278980189,0.5031373055516342,0.5501209352324644,0.8265466895416826
46,47,0.9532864152892562,0.9937500105688404,0.8714386631267168,0.9966678850022741,0.9995890861275476,0.8344890448313342,0.5036268994290074,0.5498521902714324,0.8260759621706368
47,48,0.9533832644628099,0.9937753757856876,0.8712984139775521,0.9966719047058377,0.9995890861275476,0.8359581243683378,0.5036809650105577,0.5501209352324644,0.8264961155266117
48,49,0.9534801136363635,0.9937770668001441,0.8711817312837797,0.9966800171984844,0.9995890861275476,0.8360134246105148,0.5036659467934606,0.5501209352324644,0.8264961155266117
49,50,0.9532864152892562,0.99378383085797,0.8712748475221597,0.9966895548587582,0.9995890861275476,0.8371243874068,0.5041555406708337,0.5498521902714324,0.8264883349089084
50,51,0.9529313016528925,0.9937753757856875,0.8706879853037285,0.996711370886281,0.9996712689020381,0.8356514940599912,0.5038311471815312,0.5493147003493684,0.8262899291574759
51,52,0.9527053202479338,0.993793976944709,0.8706052153140574,0.9967017966832475,0.9997945430637738,0.8357529414008124,0.5037875943519489,0.5506584251545283,0.8266517278806765
52,53,0.9528990185950412,0.9937889039013394,0.870260340357095,0.9967002618873415,0.9997945430637738,0.8357537041627734,0.5035157646224871,0.5498521902714323,0.8267567662196702
53,54,0.9525761880165289,0.9936519317303644,0.8706644188483361,0.9966695659692189,0.9997945430637738,0.836537060696783,0.504035394934055,0.5503896801934963,0.8266750697337861
54,55,0.9526407541322314,0.9936333305713431,0.8705626807360322,0.9966501983065938,0.9997945430637738,0.8356324250109647,0.5038671909025648,0.5501209352324644,0.8265077864531667
55,56,0.9527698863636364,0.9935859821665616,0.8699970858066137,0.996667446489158,0.9997945430637738,0.8349375488644382,0.5038581799723063,0.5509271701155604,0.826309380701734
56,57,0.9528344524793388,0.9935639989786272,0.8699873143494997,0.9966908338553466,0.9997945430637738,0.8349306840067886,0.5037320269486888,0.5495834453104005,0.826196561745037
57,58,0.9526730371900826,0.9935656899930837,0.8701396341221582,0.9966824290206225,0.9997534516765285,0.8357544669247345,0.5039873366393436,0.5495834453104004,0.8263443934813985
58,59,0.9528021694214875,0.9934642291256948,0.8699528268538035,0.9966996772031868,0.9997123602892833,0.8367277511870483,0.5036208921421684,0.5495834453104004,0.8260487300086754
59,60,0.952737603305785,0.9934608470967818,0.8699597243529428,0.9967004080583801,0.9997123602892833,0.8353052001296695,0.5036208921421684,0.5493147003493684,0.8258114211687266
