,number of Autoencoders,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9192,0.9935,0.8571,0.9949,0.9993,0.7581,0.5007,0.5485,0.815
1,2,0.9281,0.9941,0.8632,0.9955,0.9982,0.8251,0.4982,0.5351,0.8211
2,3,0.944,0.9932,0.8631,0.9961,0.9992,0.8405,0.4956,0.537,0.8235
3,4,0.9433,0.9931,0.8669,0.9965,0.9995,0.8375,0.4982,0.5421,0.8288
4,5,0.9496,0.9934,0.8677,0.9967,0.9998,0.8328,0.4972,0.5453,0.8263
5,6,0.9541,0.9938,0.8689,0.9966,0.9995,0.8254,0.4996,0.5458,0.8254
6,7,0.9531,0.9934,0.8661,0.9968,0.9994,0.8395,0.5001,0.5439,0.8297
7,8,0.952,0.9933,0.868,0.997,0.9991,0.8434,0.5007,0.545,0.8294
8,9,0.951,0.9933,0.8689,0.9969,0.9995,0.8428,0.5004,0.5434,0.8294
9,10,0.9527,0.9933,0.8664,0.997,0.9995,0.8499,0.4988,0.5445,0.8296
10,11,0.9519,0.9933,0.867,0.9971,0.9995,0.8483,0.4989,0.5442,0.8284
11,12,0.9515,0.9933,0.8661,0.997,0.9993,0.8485,0.4997,0.5453,0.8275
12,13,0.9519,0.9932,0.8703,0.9971,0.9995,0.8482,0.4992,0.5469,0.828
13,14,0.9511,0.9932,0.8695,0.997,0.9994,0.8463,0.4986,0.5469,0.8273
14,15,0.9509,0.9933,0.8713,0.997,0.9995,0.8453,0.4985,0.5469,0.827
15,16,0.9513,0.9934,0.871,0.997,0.9997,0.8429,0.4987,0.5466,0.8277
16,17,0.9507,0.9934,0.8702,0.997,0.9997,0.8413,0.4984,0.548,0.8275
17,18,0.9507,0.9934,0.8708,0.9968,0.9996,0.8467,0.4995,0.548,0.8268
18,19,0.9501,0.9936,0.8708,0.9967,0.9996,0.8446,0.4998,0.5482,0.8271
19,20,0.9501,0.9937,0.8693,0.9968,0.9995,0.8448,0.5,0.5474,0.8266
20,21,0.9503,0.9937,0.8705,0.9969,0.9996,0.8444,0.5,0.5469,0.8266
21,22,0.951,0.9938,0.8699,0.9969,0.9996,0.8418,0.4996,0.5464,0.8263
22,23,0.9502,0.9938,0.8688,0.9969,0.9997,0.8422,0.5,0.5469,0.8259
23,24,0.9499,0.9937,0.8692,0.9969,0.9997,0.8408,0.5008,0.5472,0.826
24,25,0.95,0.9937,0.869,0.9968,0.9996,0.8396,0.5014,0.5472,0.825
25,26,0.9502,0.9937,0.869,0.9968,0.9996,0.8412,0.5012,0.548,0.8252
26,27,0.9506,0.9938,0.8684,0.9969,0.9997,0.8415,0.501,0.5485,0.8256
27,28,0.9503,0.9938,0.8686,0.9969,0.9998,0.8415,0.5006,0.549,0.8254
28,29,0.9511,0.9939,0.868,0.9969,0.9998,0.841,0.5011,0.548,0.8246
29,30,0.9511,0.9939,0.8698,0.9968,0.9998,0.8387,0.5015,0.5485,0.8242
30,31,0.9518,0.994,0.8702,0.9969,0.9998,0.8371,0.5021,0.5482,0.8248
31,32,0.9522,0.994,0.8701,0.9968,0.9998,0.8388,0.5025,0.548,0.8246
32,33,0.9524,0.994,0.8694,0.9968,0.9998,0.841,0.5036,0.5477,0.8245
33,34,0.9529,0.994,0.8693,0.9968,0.9998,0.8413,0.5034,0.5488,0.8245
