,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9477660123966942,0.9938193421615562,0.8433158347612115,0.994712920445462,0.9972057856673241,0.7221136133941001,0.507072078431137,0.5485084654662724,0.8053872996977229
1,2,0.9503486570247934,0.9938007410025349,0.8555798756265947,0.9950030699572399,0.9969181459566074,0.7997154897885244,0.5188223314880951,0.5525396398817523,0.8071612805340618
2,3,0.9450865185950413,0.9929586158032065,0.8617738298536408,0.9959938903429253,0.997370151216305,0.8185496081310424,0.5146382562047764,0.555764579414136,0.8122303529677221
3,4,0.9469912190082646,0.9933069647812418,0.8698947729027149,0.9962925908604658,0.9983563445101906,0.8252489464350412,0.5122173196086853,0.5549583445310401,0.8189761485164306
4,5,0.94896048553719,0.9935098865160199,0.8693682638017521,0.9962443544177018,0.9989316239316239,0.8291184378635037,0.5120040609259031,0.5563020693362,0.818073596862855
5,6,0.9485730888429752,0.9933086557956984,0.8681985629060545,0.9962550979890445,0.99913708086785,0.8323319540054537,0.5118959297628023,0.5592582639075517,0.818789413691553
6,7,0.9478951446280991,0.9934743752124338,0.8705701530267664,0.9963611450776062,0.9992192636423405,0.8343387807250052,0.5123494799191419,0.5589895189465198,0.8205906266898528
7,8,0.9478305785123968,0.9935183415883022,0.8707678813354247,0.9965418124814133,0.9993836291913215,0.8339169733605384,0.5129351903859382,0.556570814297232,0.8209835478838665
8,9,0.9477660123966942,0.9936705328893857,0.8697194614662589,0.9965908528648902,0.9994247205785667,0.8306050609256117,0.513331671317308,0.5554958344531039,0.8200809962302907
9,10,0.9483471074380165,0.9936942070917765,0.8685658547352193,0.996725987990149,0.9995890861275476,0.8320207471253409,0.5117187148010537,0.5541521096479441,0.8218549770666294
10,11,0.9500258264462809,0.9936282575279736,0.8706414271845384,0.996730519292348,0.9995890861275476,0.8360199080871837,0.5104962319293302,0.5565708142972319,0.8211197086936732
11,12,0.9481211260330579,0.9935639989786273,0.8719301099403882,0.996737608587724,0.999630177514793,0.836104956045842,0.5097002664231713,0.55495834453104,0.8204661368066011
12,13,0.9491864669421487,0.993591055209931,0.8718306709944641,0.9967205796617178,0.9995890861275476,0.8350306058236877,0.5092797563444458,0.5571083042192959,0.819699745962832
13,14,0.9509297520661156,0.993486212313629,0.8697786650005375,0.9967402396664201,0.9996712689020382,0.8346354951278581,0.5091746288247645,0.5581832840634239,0.8201588024073232
14,15,0.9508651859504131,0.9934304088365652,0.8693176821413975,0.9969237574054817,0.999630177514793,0.833458553421941,0.5088622499091398,0.5587207739854878,0.8208279355298018
15,16,0.9507037706611571,0.9933695323161318,0.8694906944114738,0.9969177643928957,0.999630177514793,0.8340386338933278,0.5083636451015081,0.5584520290244558,0.8217382678010807
16,17,0.9505746384297521,0.9932849815933077,0.8709644600608935,0.996914987143161,0.9996712689020382,0.833247268358727,0.5078590330070376,0.5573770491803279,0.8211508311644862
17,18,0.9501872417355373,0.993159846523528,0.8709920500574504,0.9968711358315572,0.9996301775147929,0.8345775252188172,0.5079881896740747,0.5584520290244558,0.8218316352135195
18,19,0.9500903925619835,0.9931446273934196,0.871686398304135,0.9968076976007705,0.9995890861275476,0.8342892011975362,0.5079431350227827,0.5595270088685838,0.8217110356391194
19,20,0.9496707128099173,0.9932257960873307,0.8718456155759325,0.9968126674160855,0.9995069033530571,0.8348086420930189,0.5078320002162624,0.5592582639075517,0.820754019661621
20,21,0.9504455061983472,0.9931716836247233,0.8720059824309202,0.9968237764150252,0.9995069033530571,0.8343753932991361,0.5074775702927652,0.5589895189465198,0.8210652443697506
21,22,0.9512202995867769,0.9931480094223326,0.8713070358514762,0.9968682124107835,0.999465811965812,0.8334135504662383,0.5068738379654522,0.5579145391023919,0.8208473870740599
22,23,0.9518013946280992,0.9932190320295049,0.8709179019417036,0.9968664583583194,0.9995069033530571,0.8328613108064301,0.506558455406408,0.5581832840634238,0.8208707289271695
23,24,0.9518013946280992,0.99335600420048,0.8711851800333494,0.9968408784265507,0.9995479947403024,0.8327385061306992,0.5065824845537638,0.5579145391023919,0.8201198993188069
24,25,0.9519305268595042,0.9934337908654781,0.8708460529923363,0.9968617808850818,0.9995069033530571,0.8320413416982895,0.5067657068023513,0.5571083042192959,0.8198631389346
25,26,0.9516076962809917,0.9934456279666735,0.8703275909737027,0.9968465060115399,0.999465811965812,0.8327072328902958,0.5065494444761496,0.5584520290244558,0.819485778975993
26,27,0.9519305268595041,0.9935115775304764,0.8703241422241332,0.9968640465361812,0.9995479947403024,0.8340046909860604,0.5067176485076398,0.5589895189465197,0.8196413913300578
27,28,0.9520273760330578,0.993496358400368,0.8698344197852463,0.9968480408074459,0.9995479947403024,0.8337750996357812,0.5065344262590522,0.5592582639075517,0.819392411563554
28,29,0.9522533574380165,0.9932832905788512,0.8696303687690436,0.9968427055645341,0.9995069033530571,0.8335355923800081,0.5065764772669248,0.5584520290244558,0.8193690697104443
29,30,0.9521242252066116,0.9934219537642828,0.8692860686036761,0.996896057993652,0.9995890861275476,0.8333288838885605,0.5063181639328505,0.5581832840634238,0.8189450260456177
30,31,0.9523502066115703,0.9934523920244994,0.8696315183522334,0.9968872146458119,0.9995890861275476,0.833424229133693,0.5060177995909039,0.5581832840634239,0.818952806663321
31,32,0.9523179235537189,0.9934202627498263,0.8697786650005375,0.996885972191983,0.9995890861275476,0.83276062622757,0.5062070291263302,0.5581832840634238,0.8188127555446627
32,33,0.9523502066115702,0.9934777572413467,0.8694182706705116,0.996897373533,0.9996301775147929,0.8326530767910604,0.505942708505417,0.5576457941413598,0.8188905617216952
33,34,0.9524470557851239,0.9934642291256949,0.8701936645320822,0.9969060707098014,0.9995890861275476,0.8327941877538567,0.5056153113726951,0.5595270088685838,0.8192251282829343
34,35,0.9522210743801653,0.9934811392702596,0.8699332839395756,0.9969268269972938,0.9995890861275476,0.8332651932648119,0.5053269616044261,0.5595270088685838,0.818952806663321
35,36,0.9522210743801653,0.993594437238844,0.869737854797297,0.996927046253852,0.9995890861275476,0.83386052897542,0.5053269616044261,0.5597957538296158,0.8189956000606888
36,37,0.9521242252066116,0.9936316395568865,0.8702632143150697,0.996917179708741,0.9995890861275476,0.8338040845903015,0.5053359725346845,0.5600644987906476,0.8188516586331789
37,38,0.9517691115702479,0.993643476658082,0.8705799244838803,0.9969168873666637,0.9995890861275476,0.8334387216109532,0.5052008085808085,0.5597957538296157,0.8190306128403534
38,39,0.9515431301652892,0.9936570047737338,0.8702361991101076,0.9969171797087412,0.9995890861275476,0.8336934841059476,0.5052999288136509,0.5597957538296157,0.8192056767386764
39,40,0.9515754132231404,0.9936637688315597,0.8701752712010443,0.996899931526177,0.9996301775147929,0.8333456646517038,0.5053960454030739,0.5595270088685838,0.8193690697104442
40,41,0.9514785640495868,0.9936620778171033,0.8704632417901079,0.9969193722743214,0.9996301775147929,0.8333548177952366,0.5056273259463729,0.5608707336737436,0.8188088652358112
41,42,0.9510266012396695,0.9936671508604727,0.8701183668331454,0.9969277040235259,0.9996301775147929,0.8337499284910661,0.5057594862568295,0.5614082235958076,0.8188827811039918
42,43,0.9511557334710744,0.9937111172363412,0.870416683670918,0.996916741195625,0.9996301775147929,0.8341130031845313,0.5055101838530136,0.5616769685568396,0.8188594392508821
43,44,0.9511234504132231,0.9937144992652542,0.8702847689998798,0.9969164488535476,0.9995890861275476,0.8340763906104003,0.5055582421477253,0.5606019887127116,0.8188283167800692
44,45,0.9509943181818182,0.9937855218724265,0.8699367326891452,0.9969157179983542,0.9995479947403024,0.8343052191987186,0.5057264461792154,0.5595270088685838,0.8190228322226502
45,46,0.9511557334710744,0.9938007410025348,0.8697936095820058,0.9969224418661335,0.9995479947403024,0.8339779943174235,0.5058736247067692,0.5603332437516796,0.8190500643846115
46,47,0.9509297520661157,0.9938345612916645,0.8697930347904109,0.9969134523472547,0.9995479947403024,0.833585934669438,0.5059096684278029,0.5603332437516797,0.8188010846181079
47,48,0.9509620351239669,0.9937770668001441,0.8698706316557275,0.9969211994123047,0.9995479947403024,0.8335760187639443,0.5059336975751587,0.5606019887127116,0.8189683678987275
48,49,0.9508006198347108,0.9937719937567747,0.8698746551968921,0.996916083425951,0.9995479947403024,0.8328941095707556,0.5059727449396118,0.5603332437516797,0.8188711101774369
49,50,0.9508651859504132,0.9937855218724265,0.8697390043804867,0.9969308467008575,0.9995479947403024,0.8331488720657501,0.5060087886606454,0.5603332437516797,0.8188477683243273
50,51,0.9511880165289256,0.9937161902797107,0.8697677439602336,0.9969184952480891,0.9995479947403024,0.8337400125855725,0.5060538433119374,0.5608707336737436,0.8187777427649982
51,52,0.9509943181818182,0.9937212633230802,0.8693579175530433,0.9969166681101056,0.9995890861275476,0.8337880665891193,0.506089887032971,0.5606019887127116,0.8187855233827015
52,53,0.9508974690082646,0.9937178812941672,0.869249856733195,0.9969218571819788,0.9995890861275476,0.8335111839972541,0.5060868833895515,0.5611394786347756,0.8187232784410754
53,54,0.9508974690082646,0.993731409409819,0.8690846041496505,0.9969332585229957,0.9995890861275476,0.8333334604603269,0.5062430728473639,0.5611394786347756,0.81875829122074
54,55,0.9509297520661157,0.9937703027423181,0.8694286169192205,0.9969317968126089,0.9995890861275476,0.8335066074254879,0.506276112924978,0.5616769685568396,0.8186629786538753
55,56,0.9511880165289257,0.9937838308579701,0.8699194889412971,0.9969282156221614,0.9995479947403024,0.8337812017314697,0.506237065560525,0.5614082235958076,0.8184626277480169
56,57,0.9511557334710744,0.9937652296989488,0.8701200912079303,0.9969329661809183,0.9995890861275476,0.8333281211265993,0.5063241712196895,0.5627519484009674,0.8183887118798361
57,58,0.9512525826446281,0.9937787578146006,0.8699370200849428,0.9969291657339127,0.9995890861275476,0.8331336168265289,0.5062911311420754,0.5627519484009674,0.8182058673638101
58,59,0.9513817148760331,0.9938091960748172,0.8698487895751198,0.9969402747328523,0.9995890861275476,0.8335272019984363,0.5062911311420754,0.5627519484009674,0.8181436224221841
59,60,0.9515108471074379,0.9938125781037302,0.8695148356584612,0.9969432712391452,0.9995890861275476,0.8336667874373106,0.5061169198237462,0.5635581832840634,0.8182525510700295
