,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9922466987170273,0.855848590697228,0.9942389608525455,0.997534516765286,0.7942777597681204,0.4898341688468112,0.5522708949207202,0.825694711903178
1,2,0.9474108987603306,0.9935741450653661,0.8502575928532713,0.995990601494555,0.9990959894806049,0.8349413626742432,0.4922040435047713,0.5509271701155602,0.8226213679103984
2,3,0.9530927169421488,0.9936282575279737,0.8496879743826883,0.9964680691923998,0.999465811965812,0.8310817871512748,0.503200382063443,0.5506584251545283,0.824947772603667
3,4,0.9502195247933883,0.9934794482558031,0.8517537753748934,0.9962990954716869,0.9993425378040762,0.8217287999847447,0.5087391005289417,0.5525396398817521,0.8257375053005458
4,5,0.9512202995867768,0.9938091960748173,0.8537638215823897,0.9958110303735379,0.9997945430637738,0.8209126446864095,0.5071742023073988,0.5511959150765924,0.8222051048632751
5,6,0.9549974173553719,0.9937770668001441,0.8590872539389032,0.9961606714980581,0.9997945430637738,0.8214381876775805,0.5046090908271733,0.554420854608976,0.8231465596053671
6,7,0.9538997933884298,0.9932832905788511,0.8593099856819414,0.9962848437954158,0.9997945430637738,0.8291138612917374,0.5042005953221257,0.5546895995700081,0.8235900548144517
7,8,0.9537706611570248,0.9933188018824373,0.8614010775043239,0.9964394196688187,0.9997945430637738,0.8313083274537099,0.5040624277248302,0.5528083848427843,0.8244148002909952
8,9,0.9538675103305785,0.9919778274184465,0.8607711059162724,0.9964436586289405,0.9998356344510191,0.8379405427051353,0.5023022926810221,0.555495834453104,0.8225357811156628
9,10,0.9533832644628099,0.9920640691557272,0.8609504408938928,0.996530557311435,0.9998356344510191,0.8338773097385634,0.5003859681794016,0.556839559258264,0.8206139685429625
10,11,0.953512396694215,0.992091125387031,0.8638341703256941,0.9964663882254551,0.9998356344510191,0.8339993516523331,0.4994398205022692,0.5563020693361999,0.8213647981513252
11,12,0.9528344524793388,0.992316030309743,0.8626546979728824,0.9964310879196141,0.9997534516765285,0.8376110295379569,0.4996891229060851,0.5552270894920721,0.8205750654544464
12,13,0.9518336776859504,0.9923261763964819,0.8619804674320208,0.9964884600522955,0.999835634451019,0.8384073530253046,0.49983329779021946,0.5565708142972319,0.8207656905881757
13,14,0.9537383780991735,0.9922940471218088,0.8757530488383174,0.9967446247975805,0.999835634451019,0.8393974180507618,0.4998693415112532,0.5557645794141359,0.8216526810063449
14,15,0.9537706611570248,0.9924360923361534,0.8742965269367459,0.9967577801910616,0.9998767258382644,0.8385019355084762,0.4984966764685564,0.5576457941413598,0.8217071453302678
15,16,0.9524147727272727,0.9925088059577821,0.8738970467782644,0.996801777673704,0.9997945430637739,0.8395995499704431,0.49907938329193313,0.555495834453104,0.8209524254130535
16,17,0.951381714876033,0.9924851317553913,0.8738384180355807,0.9967292768385191,0.9998356344510191,0.8401655193455502,0.49956597352588694,0.556033324375168,0.8211858439441507
17,18,0.9511880165289256,0.9923904349458283,0.8739298098991759,0.9966939765326784,0.9997945430637738,0.8409420110219104,0.4998092686428638,0.5563020693362,0.8224696458651852
18,19,0.9509297520661155,0.9924158001626756,0.8732598902952762,0.9967302269502706,0.9998767258382644,0.8424408382753954,0.49943080957201086,0.5563020693361999,0.8217616096541904
19,20,0.9504455061983472,0.9924158001626756,0.8729003581526428,0.9967031122225957,0.9998767258382644,0.840263915638527,0.4994848751535613,0.55495834453104,0.8211975148707056
20,21,0.9501872417355373,0.9924614575530006,0.8724250055036296,0.9966761436659594,0.9998767258382644,0.8399290631376214,0.49855374569352623,0.556033324375168,0.8219911378764361
21,22,0.9508006198347108,0.992525716102347,0.8726526229752247,0.9966524639576935,0.9998356344510191,0.8422417574035583,0.4982473740647405,0.5557645794141359,0.8222440079517913
22,23,0.9517045454545454,0.9926609972588656,0.8730842914630229,0.9966522447011353,0.9998767258382644,0.8416323105966705,0.49987234515467266,0.556033324375168,0.8220028088029909
23,24,0.9521242252066116,0.992617030882997,0.8724198323792751,0.9966530486418481,0.9998356344510191,0.8389695085906066,0.4995028970140781,0.5563020693362,0.8211625020910409
24,25,0.9524793388429753,0.9926339410275619,0.8728411546183643,0.9966044467714874,0.9998767258382644,0.8403562098358154,0.4993887585641383,0.5557645794141359,0.821275321047738
