,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9435692148760331,0.9921570749508337,0.8344192104547694,0.9932132055886158,0.9958908612754767,0.7093533685475105,0.4981782902660927,0.5568395592582639,0.8221973242455718
1,2,0.9474108987603306,0.9944044331634991,0.8490861675827888,0.9936218267272429,0.9981097961867192,0.7823596041265423,0.49940077313781617,0.5579145391023919,0.8285891016887832
2,3,0.9530927169421488,0.9942978992527407,0.8501995389021826,0.995140689990156,0.9993836291913215,0.7998779580862303,0.5039512929183099,0.555764579414136,0.8261771102007789
3,4,0.9502195247933883,0.9945109670742575,0.8522969534321094,0.995153772298118,0.9997534516765285,0.8018184245151694,0.5052879142399731,0.555227089492072,0.8218121836692613
4,5,0.9512202995867768,0.9945211131609965,0.8568355078657357,0.9957172616522253,0.9997945430637738,0.8138937091207261,0.506738674011576,0.5579145391023919,0.8230376309575217
5,6,0.9549974173553719,0.9938954378120979,0.8561756471147474,0.9957046178573796,0.9998356344510191,0.8113987147460957,0.5058646137765109,0.556570814297232,0.8227964318087213
6,7,0.9538997933884298,0.993934331144597,0.8564676412449757,0.9958417262916605,0.9995069033530571,0.8151103144486184,0.506423291452532,0.5579145391023917,0.8225435617333661
7,8,0.9537706611570248,0.9937246453519931,0.85695535191328,0.9958874778267669,0.9995069033530571,0.8130897580137679,0.5071651913771404,0.5576457941413598,0.8258970079634622
8,9,0.9538675103305785,0.9932968186945029,0.8587334697122191,0.995857951276954,0.9994247205785668,0.8151736236913866,0.5079551495964605,0.5573770491803278,0.8272936288411936
9,10,0.9533832644628099,0.993401661590805,0.8607952471632597,0.995859047559744,0.9993836291913215,0.8226258080509525,0.5073093662612749,0.556033324375168,0.8283945862462021
10,11,0.953512396694215,0.9934743752124338,0.8616005301877672,0.9962086155987446,0.9992603550295859,0.8222970576457352,0.5057474716831516,0.5579145391023919,0.82870192064548
11,12,0.9528344524793388,0.9934456279666735,0.861465454162957,0.9961623524650028,0.9993425378040763,0.8236669781278009,0.5038401581117896,0.5581832840634238,0.8270718812366513
12,13,0.9518336776859504,0.9935538528918884,0.8633852580900481,0.9961391112698528,0.9992603550295858,0.8186258843271486,0.504227628112901,0.5589895189465197,0.8260409493909722
13,14,0.9537383780991735,0.9936451676725384,0.863541601403871,0.9961413769209524,0.9993836291913215,0.8173207986117732,0.5037320269486887,0.5589895189465198,0.8240607821854976
14,15,0.9537706611570248,0.9934236447787392,0.8632863939357187,0.996142180861665,0.9993836291913215,0.8200652161476707,0.5038762018328231,0.5584520290244558,0.8233585814377803
