,number of Autoencoders,magic_telescope,pendigits
0,1,0.994139345289686,0.994370479947403
1,2,0.9950268958365445,0.998068704799474
2,3,0.9953887422427944,0.9990548980933596
3,4,0.9957002327262192,0.9995069033530573
4,5,0.9958949325497396,0.9995069033530573
5,6,0.9960428576408827,0.9995890861275477
6,7,0.9961687839907047,0.999630177514793
7,8,0.9962457430425692,0.999630177514793
8,9,0.9962790700393879,0.9997534516765286
9,10,0.996310716069262,0.9997945430637739
10,11,0.9964546214568414,0.9998356344510191
11,12,0.9460545184354933,0.9998356344510191
12,13,0.9592700978417773,0.9998356344510191
13,14,0.9588068087346843,0.9998356344510191
14,15,0.9762516644313461,0.9998356344510191
