,number of Autoencoders,phoneme,pollen
0,1,0.682526267615034,0.5146172307008401
1,2,0.7672050494841822,0.5084026924659611
2,3,0.7891504738658682,0.5059877631567091
3,4,0.8042844339352797,0.5079191058754269
4,5,0.8064133025686009,0.5076968362623863
5,6,0.8075849049407906,0.5062340619171054
6,7,0.8069430407505579,0.507258304323144
7,8,0.8058030929997522,0.5071471695166236
8,9,0.8017642684159342,0.5060988979632295
9,10,0.8015232356362388,0.5068047541668044
10,11,0.8028405255429912,0.506501386181438
11,12,0.804540721954196,0.5061589708316188
12,13,0.8052546671497492,0.5060718651724543
13,14,0.8069457104174215,0.5056813915279234
14,15,0.8061112488320207,0.505666373310826
15,16,0.8080753608817528,0.505384030829396
16,17,0.8091806029633304,0.5058766283501888
17,18,0.8092439122060984,0.5057354571094738
18,19,0.8091630594382259,0.5055672530779836
19,20,0.8091317861978221,0.5055852749385005
20,21,0.8096916534772411,0.5054591219148827
21,22,0.7520749032245762,0.5057534789699907
22,23,0.752647737457333,0.5057024170318596
23,24,0.7526301939322285,0.5062220473434276
24,25,0.7405274498960737,0.5061739890487161
25,26,0.7408295036326538,0.5063421930802063
26,27,0.7409729028813332,0.5063361857933674
27,28,0.7410995213668694,0.5063842440880788
28,29,0.7792421959916858,0.5063752331578204
29,30,0.7814519173928796,0.5061920109092329
