,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,4,0.9552233987603306,0.9940036627373128,0.8568487280724191,0.9959775922721125,0.9990548980933597,0.7926134131690852,0.5133617077515026,0.5452835259338888,0.8214426043283576
1,6,0.9505423553719008,0.993241015217439,0.8789977473917394,0.9967960770031956,0.9999178172255095,0.8052249194332678,0.4951716432032055,0.5533458747648482,0.8187699621472948
2,8,0.9485085227272727,0.9936079653544959,0.8649986980970374,0.9961871284560588,0.9995479947403024,0.8074598119791765,0.5025966497361299,0.5466272507390486,0.8191551027236053
3,10,0.9532541322314049,0.9933627682583058,0.8716570839327931,0.9956232005888354,0.999835634451019,0.8038603382849296,0.5061229271105852,0.5538833646869121,0.8256635894323651
4,12,0.9578383264462809,0.9924293282783274,0.8709362952727415,0.9971422100227871,0.9997534516765286,0.7962464483896189,0.5052308450150031,0.5525396398817523,0.8276904403440588
5,14,0.9523502066115703,0.9933678413016753,0.8659241125648868,0.9963246023179365,0.9998356344510191,0.8265975095821971,0.5003739536057238,0.5506584251545283,0.8256324669615521
6,16,0.9519950929752066,0.9929890540634232,0.8768940101542684,0.9966976308086452,0.9997534516765286,0.8311656909669914,0.5048674041612475,0.5493147003493685,0.8257841890067652
7,18,0.9523502066115703,0.9938937467976414,0.864726821672632,0.9965514597699663,0.9997534516765286,0.8283411834251826,0.5113312447999424,0.5530771298038162,0.825756956844804
8,20,0.9532864152892564,0.9932173410150483,0.8741085700852014,0.9962572905546249,0.999835634451019,0.8321809271371636,0.501332115856534,0.5501209352324644,0.8248388439558216
9,22,0.9508974690082644,0.9934828302847162,0.8662505941908113,0.9962992416427255,0.9997534516765286,0.8230277836044317,0.5006052341490228,0.5479709755442086,0.8243136522608532
10,24,0.9542549070247934,0.992967070875489,0.8727210231750224,0.9966428166691406,0.9996301775147929,0.8536503880551479,0.4999534435269983,0.5528083848427843,0.8239401826110975
11,26,0.9565792871900827,0.9944196522936075,0.8711110319176024,0.9962680341259678,0.9996712689020381,0.8308666882782555,0.5005091175595998,0.5525396398817521,0.8275348279899941
12,28,0.9515431301652892,0.9937770668001441,0.8663006010595709,0.9964031692512264,0.9997534516765285,0.8350504376346751,0.5056543587371481,0.5487772104273044,0.823239927017806
13,30,0.9523824896694215,0.9936417856436255,0.8708563992410452,0.9964125972832212,0.999835634451019,0.8361541541923305,0.5032634585752518,0.5522708949207202,0.8245704126450599
14,32,0.9502518078512396,0.9933069647812419,0.8662402479421024,0.9965174019179541,0.9995890861275476,0.8198340992734692,0.5012269883368526,0.553883364686912,0.8274064477978906
15,34,0.9499935433884297,0.9938125781037301,0.8675490484037749,0.9965407892841427,0.9998767258382644,0.8301504547968193,0.5046601527653043,0.5517334049986562,0.8238896085960264
16,36,0.9554493801652892,0.9939022018699237,0.8706040657308676,0.9963539096111916,0.9998356344510191,0.8341427509010126,0.5057745044739269,0.5474334856221446,0.8227419674847986
17,38,0.9549328512396693,0.9935420157906929,0.8691331740394227,0.996761946065664,0.999835634451019,0.848939570183635,0.5077058471926448,0.5466272507390486,0.8244109099821434
18,40,0.9501872417355371,0.99402902795416,0.8690233888447896,0.9964956955187102,0.9995479947403024,0.8356827673003948,0.5045580288890423,0.5474334856221446,0.8236056160498582
19,42,0.9500581095041323,0.993012728265814,0.8687963461647894,0.9967402396664202,0.9997123602892833,0.8400839038157168,0.5045880653232371,0.5503896801934963,0.8233683072099093
20,44,0.9532218491735537,0.9937094262218849,0.874110869251581,0.9965801823790666,0.9997534516765286,0.8489433839934402,0.5030802363266642,0.5490459553883364,0.8245353998653953
21,46,0.9536415289256199,0.993738173467645,0.8680686600055985,0.9965394006592753,0.9998356344510191,0.836912339581625,0.5026116679532272,0.5487772104273045,0.8246015351158729
22,48,0.9484439566115703,0.99427422505035,0.8695395516970434,0.9964091622638123,0.999835634451019,0.8407848820579318,0.5049845462546068,0.5509271701155604,0.8256908215943264
23,50,0.9498644111570247,0.9933323299980892,0.8694263177528407,0.9968029470420134,0.9997945430637738,0.8343944623481626,0.4981362392582202,0.5482397205052406,0.8238701570517684
24,52,0.950574638429752,0.9937381734676449,0.868026125427573,0.9966689081995448,0.9998356344510191,0.8441151007799241,0.5000705856203576,0.5471647406611126,0.8247610377787893
25,54,0.9528021694214877,0.9936789879616681,0.871869182031325,0.99658091323426,0.9997534516765286,0.8509189374725883,0.5040624277248302,0.5498521902714325,0.8270057459861738
26,56,0.9510911673553719,0.993443936952217,0.8682485697748139,0.9966447168926436,0.9998356344510191,0.8337415381094945,0.5024569803171246,0.555495834453104,0.8266984115868959
27,58,0.9506069214876034,0.9930803688440732,0.8713248543909193,0.9966602841082628,0.9997945430637738,0.8354539387120765,0.5009746822896173,0.5536146197258801,0.8238234733455488
28,60,0.9516399793388429,0.9935369427473235,0.8715639676944132,0.9964839652928562,0.9997534516765286,0.8396697240708606,0.5018457388812629,0.5517334049986563,0.8250489206338091
