,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9214876033057852,0.9754160318316561,0.8442924056810103,0.9791071156719399,0.9875493096646943,0.708484582673862,0.4888609883789036,0.5339962375705456,0.8086979525304514
1,2,0.9260072314049588,0.9797754671004681,0.8334575841164389,0.9811038120602946,0.9889464168310322,0.7275810911309852,0.48489617906520605,0.527277613544746,0.8109387704289844
2,3,0.9304622933884297,0.9821986908166078,0.8352147220221627,0.9763678704070959,0.991370808678501,0.7414214069144371,0.48431046859840987,0.5299650631550659,0.8112694466813719
3,4,0.9334323347107437,0.9821428873395438,0.8326275850533493,0.9730823108851892,0.9909598948060486,0.7309013939474839,0.4835355285961872,0.5350712174146735,0.8113083497698882
4,5,0.9282670454545454,0.9818097574916168,0.8329770583430713,0.9668378841128235,0.9915351742274819,0.725215003527774,0.4888639920223231,0.5339962375705456,0.8128294605308716
5,6,0.9334969008264463,0.9816660212628158,0.8298111062381557,0.967573855292572,0.9898915187376727,0.7245956408153925,0.48885197744864517,0.5361461972588013,0.8108609642519519
6,7,0.9324638429752067,0.9814360432967341,0.827207300313089,0.9688173323186141,0.9894806048652203,0.7223073549322094,0.4880950593069393,0.5361461972588014,0.8108570739431002
7,8,0.9323669938016528,0.9810876943186987,0.8283781507919765,0.970419220731497,0.9888642340565417,0.7241944280238743,0.4871639298469043,0.5358774522977694,0.8101723795852154
8,9,0.9299134814049588,0.9812195934463044,0.8299662999687889,0.9735548818532384,0.9892751479289941,0.72560019831811,0.4907262509423931,0.5366836871808653,0.8087757587074837
9,10,0.9296229338842975,0.9811570259114146,0.833734058873604,0.9739206017920131,0.9891929651545036,0.7231769035678192,0.4920118103259253,0.5358774522977694,0.8088924679730324
10,11,0.9320441632231404,0.9816051447423824,0.8320890053288929,0.973429101674455,0.9896449704142012,0.7268396865048338,0.49131796869602823,0.5361461972588014,0.8102190632914348
11,12,0.9310433884297521,0.9818807800987891,0.8317949994280823,0.973702733858862,0.9902202498356344,0.7268473141244446,0.49028171171631185,0.5377586670249932,0.8100401090842604
12,13,0.9319473140495869,0.9818587969108548,0.8296708570889909,0.9738505858644858,0.9905078895463512,0.7297099597643065,0.49067819264768164,0.5380274119860253,0.8099428513629696
13,14,0.9314953512396693,0.982430359797146,0.8290305392522306,0.9745522799356643,0.9917406311637081,0.7268183291699242,0.4885816495408931,0.5385649019080893,0.8095499301689562
14,15,0.9313985020661156,0.9823356629875829,0.8290897427865092,0.9748435257302321,0.9918228139381985,0.7273545508285503,0.4883774017883693,0.5366836871808653,0.8090441900182456
15,16,0.9323669938016528,0.9829021528305044,0.8282976799686853,0.9754022645255827,0.9911242603550297,0.7261295551190862,0.4882752779121074,0.5391023918301532,0.8086551591330835
16,17,0.9324315599173554,0.9835058449914689,0.8289690365515723,0.9755561095437921,0.9896860618014465,0.7261173509277091,0.48864772969612136,0.5377586670249932,0.807628117596256
17,18,0.9328835227272728,0.9834669516589698,0.8297915633239279,0.9751757725011494,0.9898504273504273,0.7248915924562842,0.48888501752625935,0.5380274119860252,0.8067566884134931
18,19,0.9329480888429753,0.9834111481819058,0.8285965715980528,0.9752548510330749,0.989973701512163,0.7225201655193454,0.4893656004733742,0.5382961569470572,0.8063482059840732
19,20,0.935207902892562,0.9838254467237441,0.8292437869339524,0.9758848482097812,0.9901791584483892,0.7241631547834709,0.48977409597842186,0.5380274119860253,0.8070523518862163
20,21,0.9355307334710744,0.9837578061454848,0.8291075613259522,0.975669099756691,0.9904257067718606,0.7239114433363208,0.4900564384598518,0.5374899220639613,0.8069784360180354
21,22,0.9346590909090908,0.9837662612177671,0.8298346726935482,0.9760060970863655,0.989973701512163,0.7236681222707424,0.4895878700864148,0.5380274119860252,0.8074063699917136
22,23,0.9339811466942148,0.9844764872894898,0.8311808346088917,0.9755550132610022,0.9901791584483892,0.7222905741690661,0.4889360794643903,0.5382961569470572,0.8071379386809518
23,24,0.9335291838842974,0.9845897852580741,0.831646990592386,0.9755649528916323,0.9903846153846154,0.7233309814839533,0.4888339555881284,0.5380274119860253,0.8068422752082287
24,25,0.9344331095041323,0.9852391348093635,0.832087280954108,0.9760753090731797,0.9903024326101248,0.7238565244751244,0.4885876568277321,0.5374899220639613,0.8077175946998433
25,26,0.9336905991735537,0.9850717243781717,0.8331655899862107,0.9768288207775699,0.9910009861932939,0.7252348353387617,0.4892724875273707,0.5372211771029294,0.8080171484814179
26,27,0.9353693181818181,0.9852932472719709,0.8328253133620078,0.9763080864522762,0.9907955292570678,0.7254842585000286,0.4896929976060962,0.5374899220639613,0.8081922123797408
27,28,0.9356921487603306,0.9850801794504541,0.8335340313985657,0.9764497992742754,0.9914940828402368,0.7263431284681834,0.4895368081482839,0.5369524321418974,0.808199992997444
28,29,0.9356921487603306,0.9853084664020793,0.8329282010575016,0.9769099457040367,0.9909598948060487,0.7257558017581663,0.4894046478378273,0.5364149422198334,0.8083672762780637
29,30,0.9360472623966942,0.9850751064070846,0.8329270514743118,0.9772068190835937,0.9912886259040106,0.7270128334699948,0.48924845838001496,0.5364149422198333,0.8087135137658579
30,31,0.9359826962809916,0.9848941678602411,0.8333127366345147,0.9770980678308164,0.9914940828402367,0.7258854712915467,0.48930552760498486,0.5361461972588014,0.8085034370878704
31,32,0.9361763946280992,0.9845847122147048,0.8331868572752235,0.9769450998388391,0.9911653517422748,0.7270929234759063,0.48941666241150517,0.5361461972588014,0.8089080292084387
32,33,0.9360472623966942,0.9841095371524331,0.8324016919565388,0.9765023477626805,0.9914529914529915,0.7273263286359908,0.48956684458247857,0.5353399623757055,0.8088068811782967
33,34,0.9357567148760331,0.9842803296125379,0.8336153644092493,0.9766411371639061,0.9915762656147271,0.7284086878587365,0.4897500668310661,0.5364149422198334,0.808978054767768
34,35,0.9358535640495869,0.9840824809211293,0.8347865022839344,0.9764333550324239,0.991740631163708,0.7272920043477431,0.48972603768371037,0.5369524321418973,0.8093126213290073
35,36,0.9351433367768595,0.9839438177356978,0.8351181570342133,0.9761242032856181,0.99206936226167,0.7282683396579013,0.4900414202427545,0.5377586670249933,0.809479904609627
