,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9302040289256199,0.9933154198535242,0.8628225371186042,0.9950410744272963,0.9993836291913215,0.657956179325337,0.49192470466676075,0.5517334049986562,0.7918373539675314
1,2,0.9613894628099173,0.9935048134726504,0.893800930127759,0.9950029237862011,0.9962195923734385,0.8347483838980949,0.4973432773954807,0.5517334049986562,0.8166341825877556
2,3,0.9480565599173554,0.9889187822666695,0.870701780302007,0.9945720115641755,0.9993425378040763,0.7943990389199291,0.5024314493480592,0.5474334856221446,0.8220378215826555
3,4,0.950832902892562,0.9924428563939792,0.8707127013423108,0.9958200198924166,0.9989316239316239,0.8579592303731813,0.5143799428707021,0.5608707336737436,0.8148212986629009
4,5,0.9520919421487604,0.9937144992652542,0.8685187218244345,0.995615599694824,0.9991781722550953,0.7916569096699148,0.5039783257090851,0.5522708949207202,0.8220144797295458
5,6,0.9557076446280991,0.9941101966480711,0.8607532873768293,0.9964302839789014,0.9999178172255095,0.7913457027898019,0.4923452147454863,0.5557645794141359,0.8177117981396543
6,7,0.9502840909090908,0.9936045833255828,0.861748826419261,0.9954689170575096,0.9994247205785668,0.8125062451135563,0.5078289965728429,0.5477022305831765,0.8214815074168738
7,8,0.9476368801652892,0.9911306291757489,0.8634203203773393,0.9962666455011002,0.999630177514793,0.8099296352090921,0.5053690126122987,0.554420854608976,0.8278188205361624
8,9,0.9415030991735537,0.9936384036147126,0.8657516750864055,0.9964032423367458,0.9998356344510191,0.8457756335691539,0.5089884029327574,0.5471647406611125,0.8287680558959576
9,10,0.9476368801652894,0.9939546233180748,0.8745482856553285,0.9960456348906177,0.9998356344510191,0.8110569973875402,0.4967966142931376,0.5533458747648482,0.8228703476769021
