,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9591619318181818,0.9937111172363412,0.8558836529845191,0.9936478451721277,0.9946170282708744,0.7905409889208825,0.5129171685254214,0.5568395592582639,0.8240218790969815
1,2,0.9514785640495868,0.9928148795744055,0.846612264558178,0.9958105918604219,0.9983152531229453,0.7765893098911156,0.5104181372004242,0.5624832034399355,0.8300129547284759
2,3,0.9638752582644627,0.9943401746141527,0.8566372047654822,0.9957315133284966,0.9995479947403024,0.7599672012356744,0.5049635207506705,0.5399086267132491,0.8231660111496252
3,4,0.9526084710743802,0.9938024320169914,0.8555428015687212,0.9961091462069237,0.9998356344510191,0.8173227055166759,0.4879598953530633,0.5592582639075517,0.8252706682383514
4,5,0.9506069214876034,0.9931446273934196,0.8668891876527869,0.9957560700629946,0.9998767258382644,0.8048900669323621,0.5017316004313233,0.5563020693361999,0.8147707246478297
5,6,0.9414385330578512,0.9945177311320834,0.8620442692990589,0.9958328829438204,0.9997534516765286,0.7754535573310959,0.5012450101973693,0.5503896801934963,0.8223373753642302
6,7,0.9541580578512396,0.9931835207259188,0.8684572191237763,0.996847383037772,0.9996712689020382,0.8120630804141796,0.4950214610322321,0.5517334049986562,0.8218121836692615
7,8,0.9518013946280992,0.9939563143325312,0.8614855718687797,0.9965931185159898,0.9995479947403024,0.843726092179783,0.510288980533387,0.5439398011287289,0.8204311240269364
8,9,0.9560304752066116,0.9934777572413467,0.8716363914353753,0.9967748091170677,0.9998767258382643,0.8287652790755325,0.506750688585254,0.5511959150765923,0.8177390303016157
9,10,0.9490250516528925,0.9937026621640589,0.8689337213559795,0.9962594831202051,0.9997123602892835,0.8445468240498847,0.5018006842299709,0.5463585057780166,0.8266478375718249
10,11,0.9498644111570248,0.9925358621890858,0.8663988904223052,0.9967240146811268,0.9997534516765285,0.8358917640777255,0.5061259307540046,0.5482397205052405,0.8168442592657432
11,12,0.9552556818181817,0.9940002807083997,0.8691762834090428,0.9962398231155026,0.9997534516765285,0.8125825213096622,0.495637207933223,0.5509271701155602,0.8257608471536555
12,13,0.9523824896694216,0.9938294882482951,0.8683244422653456,0.9966353619461679,0.9998767258382643,0.8534757155660648,0.5065884918406026,0.5498521902714324,0.8244575936883629
13,14,0.9562887396694213,0.9939512412891618,0.8696970445940562,0.9960832739330774,0.9996301775147929,0.841657100360405,0.4999414289533204,0.5436710561676968,0.8231815723850318
14,15,0.955933626033058,0.9936214934701477,0.8697091152175501,0.9962708844612218,0.9997123602892835,0.8336561087698556,0.504125504236639,0.5490459553883364,0.8232827204151738
15,16,0.9544486053719009,0.9921097265460522,0.8607975463296396,0.9967002618873413,0.9997123602892833,0.8494529089834291,0.5024674930690928,0.5485084654662724,0.824897198588596
16,17,0.9492833161157025,0.9926119578396275,0.8693550435950685,0.9961261020474105,0.9998356344510191,0.8262214679353941,0.5011969519026579,0.5509271701155604,0.8271107843251675
17,18,0.9559981921487603,0.9936265665135171,0.8696792260546133,0.9969510913897145,0.9997534516765285,0.8239469117675102,0.49666145033926157,0.5466272507390486,0.8234772358577549
18,19,0.9503163739669422,0.9936874430339505,0.8662701371050392,0.9962758542765371,0.9997123602892835,0.8197105318357772,0.5017766550826153,0.5479709755442086,0.8238545958163619
19,20,0.9501872417355373,0.9936553137592773,0.8684733132884344,0.9965106780501748,0.9996712689020381,0.8534909708052859,0.4993076601918127,0.5498521902714324,0.8246365478955373
20,21,0.9494447314049587,0.9924090361048497,0.8640273003015932,0.9965703158339558,0.9995069033530573,0.8280581987376289,0.49937674399046045,0.5506584251545283,0.823064863119483
21,22,0.9572572314049587,0.9935842911521051,0.8643238927645809,0.9968106941070635,0.9997945430637738,0.8431936843309623,0.503425655319903,0.5514646600376243,0.8234733455489031
22,23,0.957967458677686,0.9942015114287213,0.87830282435346,0.9965108242212134,0.9994247205785667,0.811429987986499,0.5021941615179213,0.5463585057780167,0.8220806149800233
23,24,0.952156508264463,0.993973224477096,0.8667023803844319,0.9966085395605705,0.9998356344510191,0.8423294750290803,0.5060177995909038,0.5460897608169847,0.8250683721780672
24,25,0.9496061466942148,0.9937212633230801,0.8640876534190616,0.9964666074820132,0.999835634451019,0.8443759653706069,0.5015243490353799,0.5509271701155602,0.8236289579029679
25,26,0.950154958677686,0.992571373492672,0.8656120007288357,0.9965972113050727,0.999630177514793,0.8219438988577639,0.5016895494234507,0.5487772104273045,0.8279199685663043
26,27,0.9520273760330578,0.99338475144624,0.8732705239397826,0.9969568651457424,0.9998767258382644,0.8354646173795313,0.5045640361758813,0.5495834453104004,0.8186532528817463
27,28,0.9479274276859504,0.9931310992777678,0.8713949789655016,0.9966808211391971,0.9995069033530571,0.820344387025419,0.5043778102838744,0.5468959957000807,0.8225746842041789
28,29,0.9525761880165289,0.9933120378246113,0.8730572762580606,0.9967283998122871,0.9997534516765285,0.8433942907267215,0.5052758996662952,0.5493147003493684,0.8202366085843554
29,30,0.9498966942148761,0.993489594342542,0.8648084420791131,0.9966196485595102,0.9994247205785667,0.8328803798554566,0.500304869807076,0.5522708949207202,0.8220650537446169
30,31,0.9537383780991735,0.9937973589736219,0.8688842892788147,0.9962660608169455,0.9997123602892835,0.8425247420911119,0.5009296276383253,0.5471647406611126,0.8218199642869648
31,32,0.9526407541322315,0.9934405549233041,0.8698781039464616,0.9962647452775976,0.9998356344510191,0.8311382315363933,0.5006608015522829,0.5528083848427842,0.8255857832553327
32,33,0.9531249999999999,0.992858845950274,0.8744321777531512,0.9966522447011353,0.9998356344510191,0.8298365782498429,0.5005571758543113,0.5528083848427842,0.8241113562005689
33,34,0.9515754132231404,0.9934862123136291,0.8679491033538516,0.9964962802028651,0.9996712689020382,0.829782803531588,0.5031523237687315,0.5479709755442085,0.8235433711082323
34,35,0.9555462293388429,0.9935826001376485,0.8723548809290471,0.9966719777913571,0.9998767258382644,0.8382944642550675,0.504092464159025,0.5493147003493685,0.8246132060424276
35,36,0.9501226756198347,0.9930397844971176,0.8649814543491893,0.9967073511827174,0.999630177514793,0.8380984344310749,0.5057324534660543,0.5474334856221446,0.8247532571610858
36,37,0.953125,0.9940307189686164,0.8731331487485925,0.9964237793676802,0.9995479947403024,0.8374142369520031,0.5030336798536625,0.5479709755442086,0.8213297853716608
37,38,0.9555139462809916,0.9938734546241635,0.8697539489619552,0.9963635568997444,0.9995069033530571,0.8395827692072997,0.5011488936079465,0.5517334049986562,0.8230337406486702
38,39,0.9493801652892563,0.9934236447787392,0.8720140295132491,0.9970381362432479,0.9995479947403024,0.8481432466962873,0.5055492312174669,0.5487772104273044,0.824702683146015
39,40,0.9518659607438018,0.9933695323161318,0.8712162187794761,0.9965570873549554,0.9997945430637738,0.8464659331439142,0.5009236203514864,0.5498521902714324,0.8261693295830757
40,41,0.9528990185950413,0.9936772969472116,0.8730768191722886,0.9965622033413091,0.9996712689020382,0.8463583837074046,0.501704567640548,0.5511959150765923,0.8246637800574987
41,42,0.9537383780991735,0.9938582354940553,0.8713225552245394,0.9966085395605705,0.9995479947403024,0.8430678286073874,0.5037410378789472,0.5498521902714324,0.8259436916696816
42,43,0.9533509814049588,0.9936722239038421,0.8683824962164344,0.9965692195511657,0.9997945430637738,0.8467191701149863,0.5045430106719451,0.5458210158559527,0.8241113562005686
43,44,0.9533186983471074,0.9936485497014514,0.8669667845181033,0.9964245833083928,0.9997945430637738,0.8523872542476307,0.5038221362512728,0.5498521902714324,0.8227147353228373
44,45,0.9503809400826446,0.9932241050728743,0.8640353473839223,0.9965236141870979,0.9997534516765286,0.8281810034133599,0.4998903670151894,0.5509271701155604,0.8269824041330641
45,46,0.9503163739669422,0.9936164204267783,0.8712748475221597,0.9967444786265418,0.999630177514793,0.8348643237161764,0.5021340886495319,0.5485084654662725,0.8226719419254694
46,47,0.9511557334710745,0.9931649195668973,0.8759461788142164,0.9963097659575106,0.9998767258382644,0.8332663374077535,0.5041435260971558,0.5503896801934963,0.8266517278806764
47,48,0.9521887913223139,0.9934946673859115,0.8682250033194214,0.9965692195511657,0.9997945430637738,0.8307080337903548,0.5046090908271734,0.5506584251545283,0.82233737536423
48,49,0.9514462809917354,0.9938345612916645,0.8668184882866095,0.9967305192923481,0.9998356344510191,0.8405957170915885,0.5052368523018421,0.5495834453104004,0.8229287023096763
49,50,0.9504777892561984,0.9937956679591654,0.8657401792545069,0.9964044847905745,0.9998356344510191,0.8302702084247058,0.49853572383300937,0.5511959150765923,0.8237534477862198
