,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9289772727272727,0.981782701260313,0.8160816342014794,0.96948167968941,0.9771942800788954,0.7266612002059457,0.49017658419663057,0.5455522708949208,0.7973382506837218
1,2,0.9314307851239669,0.9854183823417506,0.8222485732235634,0.9740927181900575,0.9810157790927022,0.7208413264430503,0.494609961883765,0.5374899220639613,0.807137938680952
2,3,0.930365444214876,0.9877874935952827,0.8248339858175924,0.9774142357874793,0.9853714661406969,0.7235521824526612,0.4913209723394477,0.5342649825315775,0.8091803508280523
3,4,0.9303977272727272,0.9857734953776119,0.8239769715495405,0.9759363735009156,0.9880424063116371,0.7312286188287791,0.4877045856624085,0.5348024724536415,0.8070367906508098
4,5,0.9329803719008264,0.9848857127879587,0.8232067508123242,0.9756348226481207,0.9875904010519395,0.7234476840639957,0.4867689507372443,0.5358774522977694,0.8107403646775517
5,6,0.9304945764462809,0.9854944779922924,0.8217168909982463,0.9727744746777311,0.9915762656147272,0.7382117045822925,0.48591141054098624,0.5372211771029294,0.813265175122253
6,7,0.9290741219008264,0.986358586379555,0.8210788723278657,0.9743368969101709,0.992603550295858,0.73554280048054,0.48407318076827194,0.5364149422198334,0.8138059280526282
7,8,0.9301394628099173,0.985721073929461,0.824432206492731,0.9718278710312462,0.9922748191978962,0.7299235331134036,0.4837187508447747,0.5353399623757054,0.8148446405160106
8,9,0.9299134814049587,0.9860288385605409,0.828963288635623,0.9712593387763044,0.9909188034188035,0.7337533609198909,0.4853647474386431,0.5356087073367375,0.8148174083540491
9,10,0.930074896694215,0.9856280681343546,0.8288408580259012,0.9713220461518975,0.9909188034188035,0.7339150664556359,0.48446065076938316,0.5334587476484816,0.8163968737478069
10,11,0.9293646694214877,0.9861083162399955,0.8320717615810447,0.971093069219807,0.990836620644313,0.7334482561354666,0.48559002069510315,0.5342649825315775,0.8153036969605016
11,12,0.9292355371900826,0.9862266872519494,0.8329184296003878,0.9713331551508373,0.9910831689677844,0.7332316317385252,0.4885726386106347,0.5339962375705456,0.8140354562748737
12,13,0.9279442148760331,0.9856838716114185,0.8343887465002376,0.9709153617795331,0.9909598948060487,0.7323842031997864,0.4889240648907124,0.5329212577264176,0.8139732113332478
13,14,0.9265237603305786,0.9859307597220649,0.8344450760765416,0.9724734354235718,0.9920282708744248,0.7323189870521157,0.4879418734925465,0.5329212577264176,0.8128566926928329
14,15,0.9283638946280991,0.9856263771198981,0.8328097939889445,0.972027394499043,0.99206936226167,0.7327686352281612,0.48795388806622436,0.5331900026874496,0.8133507619169886
15,16,0.9296875,0.985387944081534,0.8318631122320824,0.9726980272245022,0.9927679158448389,0.731841116683511,0.4880079536477747,0.5326525127653856,0.8138759536119573
16,17,0.9294938016528924,0.9852560449539283,0.830967012135575,0.973127916249257,0.9925213675213675,0.7314460059876813,0.48897212318542393,0.5334587476484816,0.8139537597889897
17,18,0.9291064049586777,0.9850649603203459,0.8306801911297012,0.9735071570091096,0.9929733727810651,0.7303933944814172,0.48894509039464873,0.5337274926095136,0.8142805457325257
18,19,0.9309788223140496,0.9852746461129496,0.8314843245710186,0.9740901967396404,0.9930555555555556,0.7297458095764765,0.48811608481087565,0.5342649825315775,0.8137359024932989
19,20,0.9308496900826446,0.9852374437949071,0.8311463471131955,0.9742573067796101,0.9930966469428009,0.7294658759367671,0.48771960387950586,0.5331900026874496,0.813510264579905
20,21,0.9316567665289256,0.9851207637974096,0.8314797262382592,0.9744169255538477,0.9928500986193294,0.7287824412196564,0.4877946949649926,0.5334587476484816,0.8131795883275174
21,22,0.9322055785123967,0.9852847921996886,0.8310497821252458,0.9744920574677285,0.9931788297172913,0.7278442440075512,0.4884735183777923,0.5345337274926095,0.8135024839622018
22,23,0.9327543904958677,0.985829298854676,0.8317717203684873,0.9747383191251429,0.9930966469428009,0.7277626284777179,0.48864172240928244,0.5342649825315776,0.8128566926928329
23,24,0.9329158057851239,0.9857751863920684,0.8313486737546134,0.9740412659844425,0.9932199211045365,0.7265925516294502,0.4883924200054666,0.5334587476484817,0.8127711058980973
24,25,0.9336583161157025,0.9855671916139211,0.8313021156354234,0.9737799121672845,0.993302103879027,0.7257413092809062,0.487515356126982,0.5339962375705456,0.8126855191033615
25,26,0.9334323347107438,0.9858394449414148,0.8320976272028169,0.9735667947928905,0.9931788297172913,0.7262805819873763,0.48691162379966907,0.5339962375705456,0.812631054779439
26,27,0.9334000516528926,0.9854843319055534,0.83386166260768,0.9739000647610786,0.9931788297172913,0.7270410556625541,0.4866683286826921,0.5337274926095136,0.8125765904555163
27,28,0.9331095041322315,0.985276337127406,0.8333351535067173,0.9739227212720739,0.9935897435897436,0.7265635666749299,0.4863949971315205,0.5339962375705455,0.8121564370995413
28,29,0.9332386363636364,0.9853203035032747,0.8333454997554262,0.9741992768772546,0.9935075608152532,0.7265925516294502,0.48626584046448346,0.5337274926095136,0.812732202809581
29,30,0.9329803719008264,0.9850987806094754,0.8329483187633243,0.9746446600321095,0.9935075608152532,0.7269090978432906,0.4867223942642426,0.5337274926095137,0.8125104552050388
30,31,0.9326898243801652,0.9851055446673014,0.8330333879193751,0.9750142535034091,0.9936719263642341,0.7263667740889762,0.48632290968945324,0.5331900026874496,0.8124521005722645
31,32,0.9326252582644627,0.9849753365541523,0.833044308959679,0.9748164840880766,0.9934253780407627,0.7264216929501726,0.4860525817817012,0.5331900026874496,0.8126310547794389
32,33,0.9326252582644629,0.9851292188696922,0.8328230141956281,0.9754110347879033,0.993466469428008,0.7260799755916173,0.48619976030925516,0.5342649825315775,0.8125765904555162
33,34,0.9324961260330578,0.9850632693058893,0.8328712966896028,0.9758445780886251,0.9935075608152532,0.7255689250777063,0.48607060364221794,0.5334587476484816,0.8121642177172446
34,35,0.9318181818181819,0.984943207279479,0.8328994614777546,0.9752700528210974,0.9932610124917818,0.7249907515112222,0.48640400806177897,0.5329212577264176,0.8117518449789729
35,36,0.9316244834710745,0.9849161510481754,0.8328086444057545,0.9749996363995412,0.9930555555555556,0.725640624702046,0.4861066473632516,0.5331900026874496,0.8116390260222759
36,37,0.9307851239669422,0.9847115382989409,0.8331012133275778,0.9756824744067302,0.9924802761341224,0.7248237066417498,0.4860615927119596,0.5334587476484816,0.8115806713895015
37,38,0.9312048037190082,0.9845424368532926,0.8326781667137038,0.9760644924163175,0.9925624589086128,0.7236826147480024,0.4863289169762922,0.5339962375705456,0.8115923423160565
38,39,0.9320118801652892,0.9846658809086158,0.8326339077608935,0.9760545527856874,0.9923980933596319,0.7232676722411854,0.4861366837974463,0.5337274926095136,0.8116818194196437
39,40,0.9315276342975207,0.9844612681593814,0.8325787277677796,0.9760555759829581,0.992603550295858,0.7235704887397265,0.48608862550273485,0.5334587476484816,0.8115456586098371
40,41,0.9317536157024793,0.9842397452655823,0.8321959165655513,0.9759505520916674,0.9925624589086128,0.7232470776682367,0.4861757311618994,0.5342649825315775,0.811565110154095
41,42,0.9317536157024793,0.9841551945427582,0.8327011583775012,0.9758577334821062,0.9922748191978962,0.7231860567113519,0.4863829825578426,0.5342649825315775,0.811821870538302
42,43,0.9316890495867769,0.9843462791763407,0.8320763599138042,0.975606026953501,0.9926857330703485,0.7230823210846475,0.48626584046448346,0.5339962375705456,0.81184132208256
43,44,0.931301652892562,0.9842346722222128,0.8316165266378543,0.975612896992319,0.9927268244575937,0.7231273240403502,0.4867073760471452,0.5342649825315776,0.8118568833179665
44,45,0.9313662190082644,0.9843682623642749,0.8314337429106642,0.9752487118494503,0.9927268244575937,0.7228717987833946,0.48648811007752407,0.5348024724536415,0.8121330952464316
45,46,0.9312048037190083,0.9844798693184028,0.8311681891938031,0.9754027761242179,0.9927679158448389,0.7231776663297801,0.48634393519338964,0.5339962375705456,0.8121992304969092
46,47,0.9310111053719008,0.9844240658413388,0.8309382725558281,0.9754350799237659,0.9926857330703485,0.7218863103297037,0.4863439351933896,0.5342649825315775,0.8120708503048056
47,48,0.9310756714876032,0.9844917064195982,0.8308871161038788,0.9752902244244349,0.9928500986193294,0.7217566407963235,0.48627785503816123,0.5342649825315775,0.8121369855552832
48,49,0.930881973140496,0.9845373638099233,0.8305520126040301,0.9751691948044089,0.992603550295858,0.7220487786274098,0.48639800077494,0.5331900026874496,0.8120047150543281
49,50,0.931301652892562,0.9845052345352501,0.8307566384118279,0.9754839010506847,0.992603550295858,0.7215888331648901,0.48611265465009057,0.5329212577264176,0.8118685542445214
50,51,0.931043388429752,0.9846117684460085,0.8316734310057532,0.9756425697131708,0.9928500986193294,0.7220434392936824,0.48595946883569774,0.5321150228433217,0.8118179802294503
51,52,0.9311402376033058,0.9844223748268823,0.8310204677539041,0.9758708888755872,0.99293228139382,0.7231570717568314,0.4860345599211844,0.5326525127653856,0.8121564370995413
52,53,0.9311725206611571,0.9844731052605769,0.8307037575850935,0.9761077590437666,0.9930966469428009,0.7239122060982819,0.48560353709049076,0.5329212577264176,0.8122031208057607
53,54,0.931301652892562,0.9844815603328593,0.8306112161383087,0.9759992270475475,0.9935486522024984,0.7240479777273506,0.4854969077490997,0.5329212577264176,0.8121875595703543
54,55,0.9312370867768595,0.9845830212002483,0.8303192220080804,0.9761465674545358,0.9937541091387245,0.7242981636505788,0.48589639232388887,0.5326525127653856,0.8123042688359028
55,56,0.9311079545454546,0.9845356727954666,0.8304709669891439,0.9759516849172172,0.9937541091387245,0.7240342480120516,0.4857071627884625,0.5323837678043537,0.812343171924419
56,57,0.9312370867768595,0.9845965493159001,0.8304692426143591,0.9758943493272955,0.9936719263642341,0.7239686504834004,0.48607661092905696,0.5326525127653856,0.8124482102634127
57,58,0.9315276342975207,0.9846624988797029,0.8305278713570428,0.9757896177780818,0.9938362919132151,0.7236132034095459,0.4864460590696515,0.5326525127653856,0.8123937459394901
58,59,0.9313985020661156,0.9846286785905732,0.8305382176057516,0.9756484896402372,0.9938362919132151,0.7239053412406323,0.4864190262788763,0.5329212577264176,0.8123042688359028
59,60,0.9313339359504131,0.984554273954488,0.830304277426612,0.9758286454454091,0.9939184746877056,0.7239000019069048,0.4863319206197117,0.5326525127653856,0.8124326490280063
