,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9346913739669421,0.9948593160522929,0.8522130338592485,0.965029346394008,0.9941650230111769,0.708484582673862,0.49457692180615087,0.555764579414136,0.8076320079051077
1,2,0.9502518078512396,0.9944095062068685,0.8508766434010188,0.966067781995543,0.9993836291913215,0.7215213287313361,0.4933364170739106,0.5686643375436711,0.8125610292201098
2,3,0.9536415289256199,0.9941643091106785,0.8470013984679505,0.9654674575396885,0.9993836291913215,0.72109990274785,0.4950454901795878,0.5649019080892234,0.8148368598983073
3,4,0.9556753615702478,0.9936012012966698,0.8460547167110886,0.9643330971940203,0.9996712689020381,0.7198077839858126,0.49476615134157736,0.5638269282450954,0.8174511474465957
4,5,0.9563855888429752,0.9932832905788511,0.8443332158842507,0.9680306397884437,0.9996712689020382,0.7181030110028412,0.4965923665406138,0.5649019080892234,0.8176145404183638
5,6,0.9573863636363636,0.9935217236172151,0.8471267030356467,0.9677221458113117,0.9995890861275476,0.7177933296466505,0.4967455523550066,0.5670518677774792,0.813949869480138
6,7,0.9600012913223139,0.993594437238844,0.8468743695254694,0.9675401628681564,0.9994247205785667,0.7177895158368452,0.49637910785783157,0.569201827465735,0.8141366043050158
7,8,0.9610343491735538,0.9935200326027588,0.8459719467214175,0.9680380945114164,0.999301446416831,0.7163799317328046,0.49642716615254306,0.5697393173877989,0.8150313753408883
8,9,0.9609697830578513,0.9935267966605846,0.8445637073138207,0.9677731595038108,0.999465811965812,0.7203722278369977,0.49597061235278395,0.5686643375436711,0.816354080350439
9,10,0.9601627066115702,0.9938599265085116,0.8440351864422757,0.9682820539749714,0.9992192636423406,0.7208565816822715,0.4959405759185893,0.5667831228164472,0.8168637108100013
10,11,0.9610989152892562,0.993832870277208,0.8442332021467316,0.968794968149696,0.9993836291913215,0.7198893995156462,0.49606372529878745,0.5632894383230314,0.8166769759851236
11,12,0.9603241219008265,0.9938227241904691,0.8457495023741767,0.968495025178327,0.9993836291913215,0.719244484277569,0.4961207945237573,0.5624832034399355,0.8152920260339469
12,13,0.9605823863636365,0.9938802186819895,0.8452040251505809,0.9686875324362669,0.9990138067061144,0.7177406990713372,0.49594357956200874,0.5662456328943832,0.8153192581959082
13,14,0.9620351239669422,0.9936181114412347,0.845747203207797,0.968493782724498,0.9992192636423406,0.7184714250300337,0.4958865103370389,0.5654393980112873,0.8138720633031057
14,15,0.9629713326446281,0.993646858686995,0.8461455337830887,0.9680366328010296,0.9991781722550953,0.7194599645315688,0.49606072165536796,0.5657081429723193,0.8145373061167327
15,16,0.962422520661157,0.9936333305713431,0.845801808409316,0.96785179952262,0.9989727153188691,0.7197048111210693,0.49626196576447235,0.5649019080892234,0.8148640920602688
16,17,0.9625839359504132,0.9935842911521051,0.8464507481200005,0.9678407636091998,0.9989727153188691,0.7200694113384566,0.49573933180948493,0.5654393980112873,0.8153036969605018
17,18,0.9622933884297521,0.9936079653544958,0.8472767236419255,0.9676861146502773,0.9990548980933596,0.720336378024828,0.4954720075451523,0.5665143778554153,0.8150702784294046
18,19,0.9623902376033058,0.9936603868026468,0.8467318212099249,0.9675822235845365,0.9990548980933596,0.7202273030643961,0.49543896746753807,0.5662456328943832,0.8141638364669771
19,20,0.9621319731404959,0.9936282575279737,0.8466300830976209,0.9677768503225375,0.9990959894806049,0.7197665948399153,0.4955981605687699,0.5665143778554151,0.8142922166590806
20,21,0.9624225206611571,0.9936570047737338,0.8461742733628355,0.9676768327893213,0.9991370808678501,0.719585820255144,0.4951476140558497,0.5667831228164472,0.8140121144217639
21,22,0.9625839359504132,0.9936671508604726,0.846106447954633,0.9674710605096208,0.9990138067061144,0.7194141988139051,0.49473611490738273,0.5646331631281913,0.8135802901392342
22,23,0.9626162190082646,0.9936992801351459,0.8458041075756958,0.967379447811129,0.9988905325443787,0.7192486794683548,0.4944267396351774,0.5657081429723192,0.8133001879019176
23,24,0.9624225206611571,0.9937364824531885,0.8462179575240506,0.9672241410825325,0.9988905325443787,0.7196498922598731,0.4945679108758924,0.5651706530502553,0.813510264579905
24,25,0.9620996900826446,0.9937060441929717,0.845607528850227,0.9673522599979347,0.9988083497698882,0.7195194599645316,0.4947871768455136,0.5651706530502554,0.8136969994047828
25,26,0.9620996900826447,0.9936942070917764,0.8455690178133664,0.9675180179557966,0.9990138067061144,0.7194569134837245,0.4946399983179597,0.5659768879333513,0.8142727651148225
26,27,0.9617768595041323,0.9936925160773199,0.8455006176135687,0.9675627462936323,0.9988083497698882,0.7197490513148109,0.4946009509535066,0.5657081429723193,0.8140043338040608
27,28,0.9617768595041323,0.993643476658082,0.8453149599284039,0.9674771631504857,0.9988083497698882,0.719775747983448,0.49451384529434206,0.5659768879333512,0.8135763998303824
28,29,0.9617122933884298,0.993587673181018,0.8450971139139227,0.9674667850067395,0.9988905325443787,0.7195431055853244,0.49448681250356685,0.5667831228164473,0.8135841804480859
