,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.946119576446281,0.9903003410776159,0.8542431977725676,0.9622599533524364,0.9962195923734385,0.7091725939627391,0.47681637826683765,0.5622144584789035,0.8109037576493198
1,2,0.952317923553719,0.9917360123511696,0.8451247039104797,0.9604587607283147,0.9979454306377383,0.7070421998054957,0.47598737268306457,0.5501209352324644,0.8134713614913888
2,3,0.9526407541322314,0.9908363926603209,0.8445654316886055,0.9655643689383328,0.9980276134122288,0.7181442001487386,0.4769905895851668,0.556033324375168,0.8138565020676991
3,4,0.9540934917355373,0.9916599167006279,0.8447453414578209,0.9676207761959881,0.9984796186719264,0.7139551114585916,0.47890090679994834,0.5520021499596882,0.8193418375484831
4,5,0.9510588842975207,0.9919744453895336,0.8422375257291088,0.9675058126740668,0.9984385272846811,0.7126256173604621,0.48379384193026137,0.5490459553883364,0.8211119280759699
5,6,0.9532218491735537,0.9919930465485549,0.8458949246476958,0.9672038963936754,0.9985618014464168,0.7115539368051714,0.48549390410568016,0.5506584251545283,0.8209096320156857
6,7,0.9551265495867769,0.9924310192927839,0.8452833463906824,0.9656088049340911,0.9988905325443787,0.7120390534124064,0.4870347731798672,0.5509271701155604,0.8191317608704956
7,8,0.9539966425619835,0.9925612274059331,0.8441780221536177,0.9653928372244429,0.9987672583826429,0.708158120554528,0.4885816495408931,0.5503896801934964,0.8193651794015926
8,9,0.9565147210743802,0.9925409352324553,0.843890051564554,0.9653602410828176,0.9988083497698882,0.7103655536698386,0.48621778216977185,0.5511959150765923,0.8195947076238382
9,10,0.9563210227272727,0.9925155700156081,0.844460244826732,0.9658235301899106,0.9984796186719264,0.7115630899487042,0.4859114105409862,0.5498521902714324,0.8188633295597337
10,11,0.9564824380165289,0.9927742952274499,0.843365841629971,0.9663371752198285,0.9984796186719264,0.7136301748631796,0.48655419023275237,0.5503896801934964,0.8178557395671644
11,12,0.9559659090909091,0.9926846714612563,0.8440929529975669,0.9659707244258603,0.9983974358974359,0.7131442954939836,0.4861997603092551,0.5487772104273044,0.8168325883391883
12,13,0.9577414772727272,0.9925865926227804,0.8442194071484532,0.9667766384476169,0.9983563445101906,0.7140413035601915,0.4867794634892124,0.5479709755442086,0.8168792720454078
13,14,0.9586131198347106,0.9927269468226685,0.8444027656672382,0.9683507543631508,0.9985618014464168,0.7143860719665911,0.4857371992226571,0.5495834453104005,0.8180697065540034
14,15,0.959452479338843,0.9926559242154961,0.8444165606655167,0.9688679805835164,0.9984796186719264,0.7164234091645849,0.48470694952977966,0.5485084654662725,0.8173538897253052
15,16,0.9588391012396695,0.9927878233431017,0.8452000016094166,0.9689677423174149,0.9985618014464168,0.7182555633950534,0.4845177199943531,0.5498521902714324,0.8180813774805581
16,17,0.9590005165289256,0.9927607671117981,0.8447177514612638,0.9691167271485882,0.998602892833662,0.7175683148681375,0.4849352264296592,0.5495834453104005,0.8186221304109333
17,18,0.9584194214876034,0.9929383236297288,0.8452172453572646,0.9692783557746075,0.9985618014464168,0.719275376136992,0.48568613728452614,0.5490459553883364,0.8188049749269594
18,19,0.9589036673553719,0.9929180314562509,0.8448861653985806,0.9693833796658985,0.9987261669953977,0.719501153677466,0.4851514887558609,0.5485084654662725,0.8182214285992165
19,20,0.9578706095041323,0.9929281775429898,0.8456121271829866,0.9696683401058029,0.9989316239316239,0.7184348124559029,0.4846769130955849,0.5471647406611126,0.8185521048516042
20,21,0.9577414772727273,0.9930211833380963,0.8455190109446067,0.9697699289776849,0.9987261669953977,0.7194180126237104,0.48467390945216554,0.5468959957000806,0.8186338013374882
21,22,0.9591296487603306,0.993012728265814,0.8465254710273422,0.9696032209080716,0.9988494411571334,0.719974828855285,0.48458980743642044,0.5490459553883364,0.8185871176312688
22,23,0.958645402892562,0.9930110372513574,0.8464921331148358,0.9692436401529211,0.9988905325443787,0.7197017600732252,0.48517701972492633,0.5495834453104005,0.8173927928138215
23,24,0.9589359504132232,0.9931801386970057,0.8467140026704818,0.9691102590801267,0.9990138067061144,0.7208520051105052,0.48532870371760944,0.5506584251545283,0.8182836735408423
24,25,0.9586131198347108,0.99320212188494,0.8474077761255713,0.9689870368945203,0.9992192636423405,0.7194759825327511,0.4861907493789967,0.5506584251545282,0.8185365436161978
25,26,0.9586131198347108,0.9931902847837446,0.8478860027325593,0.9688336669321864,0.9992603550295858,0.7197208291222517,0.4858663558896942,0.5506584251545283,0.81861434979323
26,27,0.9595816115702479,0.9932629984053734,0.8481164941621293,0.9689189942760152,0.9994247205785667,0.7202364562079289,0.4856380789898146,0.5511959150765923,0.8187116075145207
27,28,0.9595170454545454,0.9932224140584178,0.8478997977308378,0.969222079924716,0.9993425378040762,0.7197460002669667,0.48544884945438815,0.5511959150765923,0.818431505277204
28,29,0.9598398760330579,0.993198739856027,0.8487545128325098,0.9693789214492186,0.9991781722550953,0.7186384698995061,0.4858663558896942,0.5501209352324643,0.8187971943092562
29,30,0.9604209710743801,0.9934185717353698,0.8483768747546359,0.9694972469050293,0.9991781722550953,0.7178162125054823,0.4857161737187208,0.5506584251545283,0.8185365436161978
30,31,0.9609375,0.9934676111546078,0.8489056830219783,0.9693339007693055,0.9992192636423405,0.7179634255639671,0.486256829534225,0.5495834453104005,0.8176962369042478
31,32,0.9611311983471075,0.9934845212991726,0.8488073936592441,0.9695717941347556,0.9992603550295858,0.7185522777979062,0.4864400517828126,0.5495834453104005,0.8169142848250723
32,33,0.961324896694215,0.9934777572413467,0.8498454672797011,0.9693302830360981,0.9992192636423406,0.7182685303483916,0.4865481829459134,0.5493147003493685,0.8173655606518602
33,34,0.9615831611570248,0.9934676111546078,0.8498897262325112,0.9689751239548681,0.9991370808678501,0.7183737914990178,0.4869446638772831,0.5501209352324644,0.8179802294504162
34,35,0.962164256198347,0.9935487798485189,0.8499081195635493,0.9685503509164668,0.9989727153188691,0.71808775576362,0.4866593177524337,0.5490459553883364,0.8181436224221841
35,36,0.9619705578512397,0.9934270268076522,0.8503064501388409,0.9689559755488009,0.9990959894806049,0.7178726568906008,0.486635288605078,0.5498521902714324,0.8183109057028037
36,37,0.9623256714876033,0.9934405549233041,0.8507967473693225,0.9687324800306608,0.9989727153188691,0.7180282603306574,0.4868725764352159,0.5501209352324644,0.8179413263618999
37,38,0.9623579545454546,0.9934676111546078,0.8507432917509934,0.9686248250606738,0.9989727153188691,0.7174020327606262,0.48701374767593086,0.5495834453104005,0.8180269131566356
38,39,0.9623579545454546,0.9934676111546078,0.850802495285272,0.9687802779603089,0.9989727153188691,0.7172319368433098,0.4869476675207026,0.5503896801934964,0.8178751911114224
39,40,0.9625193698347108,0.9934490099955865,0.8505834996876007,0.9687237097683402,0.9990959894806049,0.7170961652142408,0.4867554343418567,0.5506584251545283,0.8181980867461068
40,41,0.9628744834710744,0.9934879033280856,0.850231727231499,0.9686134237196569,0.9990959894806049,0.716560706317576,0.4868004889931487,0.5509271701155604,0.8180697065540032
41,42,0.9628744834710745,0.9934845212991725,0.8499759449717519,0.9687652588860846,0.99913708086785,0.7170595526401098,0.4870588023272229,0.5506584251545283,0.8178207267874997
42,43,0.962551652892562,0.9935335607184105,0.8501989641105876,0.9689666460346246,0.9991781722550953,0.7167163097576323,0.4872750646534246,0.5509271701155604,0.8175484051678862
43,44,0.9622288223140496,0.9935639989786272,0.8497672956227896,0.9688302684555369,0.9990138067061144,0.7166888503270341,0.48736817759942813,0.5503896801934964,0.8177468109193189
44,45,0.9617122933884297,0.9936062743400393,0.8499081195635493,0.9688008880767626,0.9991781722550953,0.7167315649968536,0.4875093488401431,0.5493147003493685,0.8178129461697965
45,46,0.9616477272727272,0.9936164204267781,0.8496523373038021,0.9688294645148244,0.9992192636423405,0.7150313685856486,0.48733213387839447,0.5493147003493685,0.8179568875973063
46,47,0.9621319731404958,0.9936384036147125,0.8491154819541304,0.9691006848770932,0.9991781722550953,0.7144539577811254,0.4872870792271025,0.5490459553883364,0.8179529972884547
47,48,0.962164256198347,0.9936231844846041,0.849102261747447,0.9691558644441945,0.9991781722550953,0.7158063347380867,0.4879418734925465,0.5485084654662725,0.8179491069796031
48,49,0.9622933884297521,0.99362994854243,0.8488004961601048,0.9690357849359197,0.9992192636423405,0.7163677275414275,0.4876685419413749,0.5490459553883364,0.8181514030398873
49,50,0.9622288223140496,0.9935893641954745,0.8486734672176235,0.9689434048394745,0.9992603550295858,0.7162723822962949,0.4875754289953714,0.5495834453104004,0.818369260335578
50,51,0.9619705578512396,0.9935673810075403,0.8491355996599533,0.9686649490107911,0.9992192636423405,0.7167239373772429,0.4875844399256297,0.5493147003493685,0.81820586736381
51,52,0.9621319731404959,0.9935623079641709,0.848678640341978,0.9684601633856019,0.9992603550295858,0.7162136496252932,0.48769257108873065,0.5487772104273045,0.8178790814202739
52,53,0.9620028409090909,0.9935403247762365,0.8485263205693196,0.9683910244843067,0.9991781722550953,0.7174840296714404,0.4881311030279729,0.5493147003493685,0.8182758929231392
53,54,0.9619705578512396,0.9935555439063449,0.8479394583508884,0.9684149965346502,0.9991781722550953,0.7172948647050972,0.4884615038041144,0.5493147003493685,0.8184470665126103
54,55,0.9623579545454546,0.9935589259352577,0.84751238819585,0.968390878313268,0.99913708086785,0.7180191071871246,0.4883593799278525,0.5490459553883366,0.8183848215709846
55,56,0.9618091425619835,0.9935978192677569,0.8471939536522545,0.9682575703259928,0.9992603550295858,0.717587383917164,0.4885365948896011,0.5487772104273044,0.8183770409532812
56,57,0.9618737086776861,0.9936198024556913,0.8471548678237988,0.968271493117427,0.99913708086785,0.7172540569401804,0.48854560581985945,0.5485084654662725,0.8179841197592677
57,58,0.9615508780991736,0.9936451676725385,0.8469146049371149,0.9682484346360754,0.9990138067061144,0.7162273793405923,0.48836238357127193,0.5482397205052405,0.8180035713035259
58,59,0.9613894628099173,0.9937195723086236,0.8468496534868869,0.9683055144266794,0.9989727153188691,0.7172090539844778,0.48833835442391615,0.5479709755442086,0.8182019770549585
59,60,0.9618414256198348,0.9937144992652542,0.8466973337142287,0.9681692830186308,0.9989316239316239,0.7174104231421979,0.4886327114790241,0.5482397205052406,0.8182836735408423
