,number of Autoencoders,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9346913739669421,0.9948593160522929,0.8522130338592485,0.965029346394008,0.9941650230111769,0.708484582673862,0.49457692180615087,0.555764579414136,0.8076320079051077
1,2,0.9502518078512396,0.9944095062068685,0.8508766434010188,0.966067781995543,0.9993836291913215,0.7215213287313361,0.4933364170739106,0.5686643375436711,0.8125610292201098
2,3,0.9533509814049586,0.993934331144597,0.8417455041238423,0.9641914574575403,0.9995890861275476,0.7232684350031464,0.49749045592303465,0.5657081429723192,0.816159564907858
3,4,0.9532864152892562,0.9940036627373127,0.8601118199568791,0.9645897004524215,0.9993425378040762,0.7232974199576667,0.49601566700407596,0.5635581832840635,0.817194387062389
4,5,0.9549974173553719,0.9939055838988368,0.8566751410107479,0.9655444896770724,0.9995069033530571,0.7242935870788123,0.4951386031255914,0.5597957538296158,0.8185871176312687
5,6,0.9525116219008264,0.9939698424481831,0.8526935596326162,0.9646651977938989,0.9996301775147929,0.7239465303865297,0.49582043018181055,0.5584520290244558,0.8197075265805353
6,7,0.9538029442148761,0.9940036627373127,0.850507627197069,0.9638231795255887,0.9995890861275476,0.7245559771934174,0.4962559584776334,0.5587207739854878,0.8190928577819794
7,8,0.9541580578512396,0.9943706128743695,0.8489269503109911,0.9638573104631203,0.9995069033530571,0.7247291241585782,0.4950484938230073,0.5614082235958076,0.8187349493676304
8,9,0.9545454545454546,0.9944788377995843,0.8477302342103311,0.9629666903244491,0.9995890861275476,0.7274308270246563,0.4949884209546179,0.5587207739854878,0.819853413162471
9,10,0.9548360020661159,0.994561697507952,0.8466530747614184,0.962596146741398,0.9996301775147929,0.7276108388474666,0.4967695815023624,0.5589895189465197,0.8193651794015926
10,11,0.9579997417355371,0.9944162702646945,0.8484906834904333,0.9628966013114029,0.9995890861275476,0.7308533399439369,0.4961868746789857,0.5597957538296157,0.82015102178962
11,12,0.9572572314049588,0.9943114273683926,0.8481848943619268,0.9631515966883781,0.9995479947403024,0.7313445586468603,0.49645720258673776,0.5587207739854878,0.8195441336087672
12,13,0.9574186466942148,0.9943300285274139,0.8515324806108426,0.9638986768670665,0.9994247205785667,0.7323453023397724,0.4966374211919058,0.5619457135178716,0.8196413913300578
13,14,0.9570958161157025,0.9943418656286093,0.8514594820782855,0.9645793953941945,0.999465811965812,0.7297679296733474,0.4959255577014919,0.5606019887127117,0.8193340569307798
14,15,0.9582902892561983,0.9943367925852398,0.8499040960223847,0.9651251249671022,0.9994247205785667,0.7295627467058218,0.49538790552940715,0.5603332437516797,0.8185793370135656
15,16,0.957967458677686,0.994516040117627,0.8503892201285118,0.9651216899476934,0.9994247205785667,0.7280967182166626,0.49550805126618597,0.5592582639075517,0.8192017864298249
16,17,0.9596138946280992,0.9944585456261066,0.8497672956227895,0.9651546515169155,0.9993836291913215,0.7280990065025458,0.49594958684884766,0.5597957538296157,0.8195869270061351
17,18,0.9607115185950414,0.9945075850453445,0.8496868247994983,0.9646870503641816,0.9993836291913215,0.7259701378692244,0.49554409498721946,0.5595270088685838,0.8197931133752709
18,19,0.9602272727272727,0.9944856018574103,0.849285045474637,0.9650727957352552,0.9993836291913215,0.7250204992277034,0.4952166978544975,0.5606019887127116,0.8200732156125875
19,20,0.9597753099173554,0.9944517815682806,0.8493764373382322,0.9653163897712138,0.9993425378040762,0.7252691596270093,0.4954629966148939,0.5597957538296157,0.8204544658800462
20,21,0.9611311983471074,0.9944162702646945,0.8483952680856739,0.9650473619745252,0.9993836291913215,0.7240586563948055,0.4957933973910353,0.5597957538296157,0.820045983450626
21,22,0.9604855371900826,0.9944297983803464,0.8475894102695716,0.9647985788666934,0.999465811965812,0.7250288896092751,0.49568826987135395,0.5606019887127116,0.8201121187011037
22,23,0.9606469524793388,0.9944061241779556,0.8494120744171183,0.9655065582925352,0.999465811965812,0.7229633302187221,0.49637009692757317,0.5600644987906477,0.8192056767386764
23,24,0.9601949896694214,0.9944856018574103,0.84884418032132,0.9652661069339084,0.9995479947403024,0.7223683758890943,0.4960066560738175,0.5603332437516796,0.8188244264712176
24,25,0.9600981404958678,0.994460236640563,0.8484130866251169,0.9654167361892669,0.9995069033530571,0.7219091931885356,0.4954900294056691,0.5606019887127115,0.8192679216803022
25,26,0.9598398760330578,0.9943807589611083,0.848210759983699,0.9652840859716658,0.999465811965812,0.7215812055452795,0.49554709863063895,0.5614082235958076,0.819637501021206
26,27,0.9604209710743801,0.9943503207008917,0.84838319746218,0.9654848518932913,0.9995069033530571,0.7217146888884651,0.4958805030501999,0.5611394786347756,0.819096748090831
27,28,0.96067923553719,0.9943080453394796,0.8464978810307852,0.9655794976408361,0.9994247205785667,0.7219869949085639,0.49588651033703884,0.5614082235958076,0.819404082490109
28,29,0.961486311983471,0.9942725340358934,0.846050118378329,0.9654877753140648,0.9993836291913215,0.7213867012452089,0.49568826987135395,0.5611394786347756,0.819781442448716
